"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1447268","","2053","06625091","Trustee","","Deborah","","Eyre","23/05/2017","19/07/2022","Appointed by foundation/Trust"
"1458404","","2053","06625091","Trustee","Sir","David","","Carter","01/09/2020","19/07/2022","Appointed by foundation/Trust"
"1480262","","2053","06625091","Trustee","","Diana","","Osagie","29/10/2020","19/07/2022","Appointed by foundation/Trust"
"1480269","","2053","06625091","Trustee","","Adam","","Boddison","29/10/2020","29/10/2023","Appointed by foundation/Trust"
"1525468","","2053","06625091","Trustee","","Rebecca","","Boomer-Clark","01/06/2021","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1611384","","2053","06625091","Trustee","","Edward","","Vainker","05/09/2022","04/09/2025","Appointed by foundation/Trust"
"1611385","","2053","06625091","Trustee","","Natalie","","Perera","05/09/2022","04/09/2025","Appointed by foundation/Trust"
"1002617","","2059","07557670","Trustee","Mrs","Hannah","","Spencer","09/03/2011","","N/A"
"1002618","","2059","07557670","Member","Mrs","Hannah","","Spencer","09/03/2011","","N/A"
"1002619","","2059","07557670","Chair of Trustees","Mrs","Hannah","","Spencer","09/03/2011","","N/A"
"1002625","","2059","07557670","Trustee","Mr","Philip","","Dubut","17/11/2011","","N/A"
"1002626","","2059","07557670","Member","Mr","Philip","","Dubut","17/11/2011","","N/A"
"1002633","","2059","07557670","Chief Financial Officer","Mr","Mark","Andrew","Straw","08/12/2011","","N/A"
"1209355","","2059","07557670","Member","Mr","Simon","","Wilson","12/06/2017","","Appointed by foundation/Trust"
"1260232","","2059","07557670","Accounting Officer","Mr","Martin","John","Connor","01/01/2018","","N/A"
"1002645","","2060","08444770","Chair of Trustees","Dr","Liza","Michelle","Thompson","21/01/2021","31/01/2022","Appointed by GB/board"
"1498659","","2060","08444770","Accounting Officer","Mrs","Anne","","Viney","01/01/2021","28/02/2022","N/A"
"1498660","","2060","08444770","Trustee","Mr","Lee","Andrew","Costidell","22/09/2020","21/09/2023","Appointed by GB/board"
"1498665","","2060","08444770","Trustee","Mrs","Anne","Irene","Costidell","22/09/2020","21/09/2023","Appointed by GB/board"
"1498670","","2060","08444770","Trustee","Miss","Abi","Ruth","Beer","05/12/2019","04/12/2023","Elected by school staff"
"1503425","","2060","08444770","Trustee","Mr","James","","Young","30/06/2015","29/06/2023","Appointed by GB/board"
"1503430","","2060","08444770","Trustee","Mr","Craig","","MacKay","24/01/2017","23/01/2025","Appointed by GB/board"
"1503431","","2060","08444770","Trustee","Mr","William","John","Cooper","19/01/2021","18/01/2025","Appointed by GB/board"
"1503434","","2060","08444770","Member","Mrs","Elena","","Mutter-Child","01/04/2013","","Appointed by foundation/Trust"
"1503437","","2060","08444770","Member","Miss","Sophie","","Hill","15/11/2020","11/11/2021","Appointed by foundation/Trust"
"1503445","","2060","08444770","Chief Financial Officer","Mrs","Janice","","Wilkes","01/04/2013","","N/A"
"1532027","","2060","08444770","Trustee","Mrs","Anna","Marie","Keast","13/07/2021","24/11/2021","Appointed by GB/board"
"1538137","","2060","08444770","Trustee","Miss","Paula","Marie","Wadsworth","01/09/2021","31/08/2025","Appointed by GB/board"
"1549826","","2060","08444770","Trustee","Mr","Luke","","Geary","01/09/2021","31/08/2025","Appointed by GB/board"
"1568929","","2060","08444770","Member","Mrs","Liza","","Thompson","01/01/2022","","Appointed by academy members"
"1570771","","2060","08444770","Member","Mr","Simon","","Cook","01/01/2022","","Appointed by academy members"
"1570773","","2060","08444770","Member","Mrs","Valerie","Ellen","Rose","01/01/2022","","Appointed by academy members"
"1577697","","2060","08444770","Trustee","Mrs","Ann","","Woolf","20/01/2022","19/01/2026","Appointed by GB/board"
"1577698","","2060","08444770","Member","Mrs","Roselyn","","Unegbu","20/01/2022","","Appointed by academy members"
"1581523","","2060","08444770","Chair of Trustees","Dr","Liza","","Thompson","19/01/2021","24/09/2022","Appointed by GB/board"
"1587150","","2060","08444770","Accounting Officer","Mrs","Tina","","Lovey","01/03/2022","","N/A"
"1101903","","2062","07846852","Member","","Patricia","","Beanland","22/11/2016","","Any additional members appointed by the members of the academy trust"
"1267206","","2062","07846852","Member","Mr","Matthew","","McDonagh","18/01/2018","","Original (signatory) members"
"1314210","","2062","07846852","Chief Financial Officer","Mr","Peter","","Wilson","16/07/2018","12/09/2022","N/A"
"1327601","","2062","07846852","Trustee","Mr","John","Thomas Arthur","Clark","01/11/2018","01/11/2026","Appointed by academy members"
"1340434","","2062","07846852","Trustee","Mr","Simon","Terry","Jones","04/01/2019","04/01/2022","Appointed by academy members"
"1377549","","2062","07846852","Trustee","Mr","Alistair","Stuart","Milne","19/08/2019","19/08/2023","Appointed by academy members"
"1456976","","2062","07846852","Member","Mr","Gurpreet","","Bhatia DL","24/08/2020","","Any additional members appointed by the members of the academy trust"
"1456977","","2062","07846852","Member","Ms","Tracy","","Campbell","24/08/2020","","Any additional members appointed by the members of the academy trust"
"1522596","","2062","07846852","Chair of Trustees","","Patricia","","Beanland","13/05/2021","21/10/2024","Appointed by academy members"
"1546706","","2062","07846852","Trustee","Ms","Elaine","","Bonar","30/09/2021","30/09/2025","Appointed by academy members"
"1546709","","2062","07846852","Accounting Officer","Mr","Richard","","Elms","01/10/2021","","N/A"
"1548177","","2062","07846852","Trustee","Ms","Tania","","Craig","06/10/2021","06/10/2025","Appointed by academy members"
"1561225","","2062","07846852","Trustee","Dr","Diane","","Elleman","22/11/2021","22/11/2025","Appointed by academy members"
"1570380","","2062","07846852","Trustee","Mr","Mark","","Gill","06/01/2022","06/01/2026","Appointed by academy members"
"1588412","","2062","07846852","Trustee","Mrs","Louise","","Jones","28/03/2022","28/03/2026","Appointed by foundation/Trust"
"1588441","","2062","07846852","Trustee","Mr","Carl","Maurice","Edwards","29/03/2022","29/03/2026","Appointed by academy members"
"1591129","","2062","07846852","Member","Miss","Louise","","Jones","19/04/2022","","Foundation/sponsor members"
"1611883","","2062","07846852","Chief Financial Officer","Mr","Austin","","O'Malley","13/09/2022","","N/A"
"1002661","","2064","08681270","Accounting Officer","Mr","Paul","","Ketley","20/04/2015","","N/A"
"1410783","","2064","08681270","Trustee","Mrs","Patricia","Gail","Spragg","21/03/2018","20/03/2022","Appointed by academy members"
"1410806","","2064","08681270","Trustee","Mrs","Tuoyo","Joy","Dada","09/10/2019","08/10/2023","Appointed by academy members"
"1410810","","2064","08681270","Trustee","Mrs","Ruth","Suzanne","Palmer","09/10/2019","13/03/2022","Appointed by academy members"
"1410814","","2064","08681270","Member","Mr","Curtis","Carl","Wilson","01/11/2013","","Original (signatory) members"
"1410834","","2064","08681270","Member","Mr","Stephen","Allan","Taylor","01/11/2013","","Original (signatory) members"
"1410837","","2064","08681270","Member","Mr","Michael","David","Procyshyn","16/09/2015","","Any additional members appointed by the members of the academy trust"
"1439391","","2064","08681270","Trustee","Mr","Antonio","","Fletcher","05/02/2020","04/05/2024","Appointed by academy members"
"1439392","","2064","08681270","Trustee","Mrs","Elizabeth","","Rossiter","05/02/2020","04/02/2024","Elected by parents"
"1527941","","2064","08681270","Chair of Trustees","Mrs","Julie","","Brown","04/12/2019","03/12/2021","Appointed by academy members"
"1527944","","2064","08681270","Trustee","Mrs","Charlotte","","Wilding","19/05/2021","18/05/2025","Appointed by academy members"
"1527945","","2064","08681270","Trustee","Mrs","Gillian","","Hollamby","24/03/2021","23/03/2025","Appointed by academy members"
"1527946","","2064","08681270","Member","Mr","Roy","","Fever","19/05/2021","","Appointed by academy members"
"1568437","","2064","08681270","Chief Financial Officer","Mrs","Janine","","Owen","04/10/2021","","N/A"
"1568441","","2064","08681270","Chair of Trustees","Mrs","Patricia","Gail","Spragg","08/12/2021","07/12/2022","Appointed by GB/board"
"1568442","","2064","08681270","Trustee","Mr","Mark","","Groombridge","07/07/2021","06/07/2025","Appointed by GB/board"
"1568443","","2064","08681270","Trustee","Mrs","Rebecca","","Imeson","08/12/2021","07/12/2025","Elected by parents"
"1581225","","2064","08681270","Member","Mrs","Julie","","Brown","10/02/2022","","Appointed by academy members"
"1596858","","2064","08681270","Trustee","Mr","Neil","","McClure","18/05/2022","17/05/2026","Appointed by academy members"
"1621855","","2064","08681270","Trustee","Mrs","Jane","","Macey","01/09/2022","31/08/2026","Appointed by academy members"
"1002673","","2067","08418341","Trustee","Mr","Chris","","Challis","01/09/2014","30/08/2022","Appointed by GB/board"
"1002677","","2067","08418341","Chief Financial Officer","","Gaynor","","Boyden","01/04/2015","","N/A"
"1002683","","2067","08418341","Accounting Officer","Mr","Rob","","Gasson","16/10/2013","","N/A"
"1296085","","2067","08418341","Trustee","Mr","Christian","","Jenkins","01/06/2018","31/05/2022","Appointed by academy members"
"1296094","","2067","08418341","Member","Mr","John","","Acornley","01/06/2018","","Appointed by academy members"
"1296100","","2067","08418341","Member","Mr","William","Kim","Conchie","01/06/2018","","Appointed by academy members"
"1296102","","2067","08418341","Member","Ms","Lindsey","Victoria","Hall","01/06/2018","","Appointed by academy members"
"1350459","","2067","08418341","Trustee","Mr","Francis","","Chapman","19/02/2019","18/02/2023","Appointed by academy members"
"1355770","","2067","08418341","Chair of Trustees","Mr","Christian","","Jenkins","20/03/2019","31/05/2026","Appointed by GB/board"
"1377564","","2067","08418341","Trustee","Mr","Justin","","Day","13/08/2019","12/08/2023","Appointed by academy members"
"1441087","","2067","08418341","Trustee","Mr","Michael","","Neville","20/04/2020","19/04/2024","Appointed by GB/board"
"1487850","","2067","08418341","Trustee","Mr","Christopher","","Liles","25/11/2020","25/11/2024","Appointed by GB/board"
"1492202","","2067","08418341","Trustee","Dr","Richard","","Thain","10/12/2020","09/12/2024","Appointed by GB/board"
"1509723","","2067","08418341","Member","Ms","Brenda","","McHugh","25/02/2021","","Appointed by academy members"
"1525931","","2067","08418341","Trustee","Mrs","Nicki","","Morris","07/06/2021","08/11/2021","Appointed by academy members"
"1544069","","2067","08418341","Member","Mr","Christian","","Jenkins","20/03/2019","","Appointed by academy members"
"1580631","","2067","08418341","Trustee","Mr","Robert","","Gasson","16/10/2013","16/10/2026","Appointed by academy members"
"1002689","","2070","07654902","Chair of Trustees","Mr","David","","Middleton","12/03/2022","11/03/2026","Appointed by foundation/Trust"
"1002690","","2070","07654902","Accounting Officer","Mrs","Sara","","Edwards","02/10/2014","","N/A"
"1002691","","2070","07654902","Chief Financial Officer","Miss","Fiona","","Simpson","01/12/2018","","N/A"
"1029049","","2070","07654902","Member","Mr","David","","Middleton","02/10/2014","","Appointed by foundation/Trust"
"1248722","","2070","07654902","Trustee","Mr","Richard","","Hendrickse","04/10/2020","03/10/2024","Appointed by academy members"
"1343205","","2070","07654902","Trustee","Mrs","Gillian","","Gosling","20/07/2021","19/07/2025","Appointed by foundation/Trust"
"1343208","","2070","07654902","Trustee","Mr","David","","Johnson","15/03/2022","14/03/2026","Appointed by academy members"
"1344814","","2070","07654902","Member","Mrs","Heather","","Cowan","09/07/2018","19/07/2022","Appointed by academy members"
"1344815","","2070","07654902","Member","Mr","Thomas","Robert","Morgan","19/06/2018","","Appointed by foundation/Trust"
"1345934","","2070","07654902","Member","Mr","Andrew","","Armstrong","09/07/2018","","Appointed by academy members"
"1375112","","2070","07654902","Trustee","Revd","Allen","","Edwards","30/04/2019","29/04/2023","Appointed by foundation/Trust"
"1430643","","2070","07654902","Trustee","Mr","Alan","John","Sedgley","13/02/2020","12/02/2024","Appointed by academy members"
"1484035","","2070","07654902","Trustee","Mr","John","","Cowan","23/06/2020","22/06/2024","Appointed by academy members"
"1565644","","2070","07654902","Trustee","Mrs","Susan","","Whitehead-Whiting","02/12/2021","01/12/2025","Appointed by academy members"
"1585499","","2070","07654902","Trustee","Mrs","Sarah","Anne","Vodden","02/03/2022","01/03/2026","Appointed by academy members"
"1624494","","2070","07654902","Trustee","Mrs","Sara","","Edwards","02/10/2014","","Ex-officio by virtue of office as headteacher/principal"
"1002695","","2071","09253218","Member","Bishop","Exeter Diocesan","","Education Network","07/10/2014","","Foundation/sponsor members"
"1002697","","2071","09253218","Accounting Officer","Mrs","Andrea","","Rice","13/05/2015","","N/A"
"1002703","","2071","09253218","Chief Financial Officer","Mrs","Cindy","","Porter","11/04/2016","","N/A"
"1029844","","2071","09253218","Trustee","Mrs","Andrea","","Rice","10/11/2014","","Ex-officio by virtue of office as headteacher/principal"
"1071202","","2071","09253218","Member","Bishop","Salisbury Diocesan","","Board of Education","07/10/2014","","Foundation/sponsor members"
"1236491","","2071","09253218","Chair of Trustees","Mr","Brian","","Impey","11/10/2017","11/04/2024","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1236493","","2071","09253218","Member","Mr","Brian","","Impey","02/11/2020","","Foundation/sponsor members"
"1275432","","2071","09253218","Trustee","Ms","Samantha","","Miller","08/02/2018","07/02/2022","Appointed by GB/board"
"1443802","","2071","09253218","Trustee","Mr","Paul","","Middlemast","27/04/2020","26/04/2024","Appointed by academy members"
"1443804","","2071","09253218","Trustee","Mr","Brian","","Impey","11/04/2020","10/04/2024","Foundation/sponsor members"
"1469112","","2071","09253218","Trustee","Mr","Tmothy","John","Thexton","01/10/2020","14/09/2022","Appointed by academy members"
"1490758","","2071","09253218","Trustee","Mr","Russell","Ian","Toms","01/12/2020","30/11/2024","Appointed by academy members"
"1490759","","2071","09253218","Trustee","Mrs","Veronique","","Singer","09/12/2020","08/12/2024","Appointed by academy members"
"1525808","","2071","09253218","Trustee","Ms","Lesley","","Adams","01/12/2020","30/11/2024","Appointed by GB/board"
"1569748","","2071","09253218","Member","Mrs","Suzanne","","McDonald","01/02/2021","","Foundation/sponsor members"
"1580262","","2071","09253218","Trustee","Mrs","Samantha","","Miller","08/02/2022","07/02/2026","Appointed by GB/board"
"1002709","","2072","08638158","Member","Mr","Paul","","Martin","01/09/2013","","Original (signatory) members"
"1002717","","2072","08638158","Accounting Officer","Ms","Julie-Ann","","Hewitt","01/09/2013","","N/A"
"1371813","","2072","08638158","Trustee","Mr","David","","Harrison","26/06/2019","12/11/2024","Appointed by academy members"
"1416490","","2072","08638158","Trustee","Ms","Tracey","","Collier","13/12/2019","12/11/2024","Appointed by GB/board"
"1421002","","2072","08638158","Trustee","Ms","Nicki","","Taylor","15/01/2020","31/08/2022","Appointed by academy members"
"1421003","","2072","08638158","Trustee","Ms","Cathryn","","Bale","15/01/2020","12/11/2024","Appointed by academy members"
"1423032","","2072","08638158","Trustee","Mr","James","","Inman","22/01/2020","12/11/2024","Appointed by academy members"
"1479804","","2072","08638158","Chief Financial Officer","Mr","Jason","","Field","01/11/2020","07/03/2022","N/A"
"1481380","","2072","08638158","Member","","Jonathan","","Hustler","03/11/2020","","Appointed by academy members"
"1481382","","2072","08638158","Member","","Roger","","Walton","03/11/2020","","Appointed by academy members"
"1481391","","2072","08638158","Member","","David","","Kershaw","12/11/2020","05/07/2022","Appointed by academy members"
"1481401","","2072","08638158","Trustee","","Elaine","","Cleland","12/11/2020","13/10/2022","Appointed by academy members"
"1481404","","2072","08638158","Trustee","","Kevin","","Meredith","12/11/2020","12/11/2024","Appointed by academy members"
"1481406","","2072","08638158","Trustee","","Tony","","Harris","12/11/2020","12/11/2024","Appointed by academy members"
"1481410","","2072","08638158","Trustee","","Barbara","","Easton","12/11/2020","12/11/2024","Appointed by academy members"
"1481416","","2072","08638158","Trustee","","John","","Weaving","12/11/2020","12/11/2024","Appointed by academy members"
"1481423","","2072","08638158","Trustee","","Tom","","Cadman","12/11/2020","31/12/2021","Appointed by academy members"
"1481438","","2072","08638158","Chair of Trustees","","David","","Kershaw","12/11/2020","05/07/2022","Appointed by academy members"
"1481444","","2072","08638158","Member","","Max","","Bailey","12/11/2020","","Appointed by academy members"
"1584955","","2072","08638158","Chief Financial Officer","Mrs","Joanne","","Buckley","08/03/2022","24/08/2022","N/A"
"1603082","","2072","08638158","Chair of Trustees","Mr","David","","Harrison","05/07/2022","05/07/2026","Appointed by GB/board"
"1603091","","2072","08638158","Member","Mr","David","","Harrison","05/07/2022","","Appointed by GB/board"
"1610417","","2072","08638158","Chief Financial Officer","Mr","Adeel","","Sahi","25/08/2022","","N/A"
"1002721","","2075","07903002","Chief Financial Officer","Mr","Clive","","Paskell","01/07/2015","","N/A"
"1002723","","2075","07903002","Trustee","Mr","David","","Bateson OBE","31/01/2013","10/02/2022","Appointed by academy members"
"1002724","","2075","07903002","Trustee","Mr","Jeremy","","Beswick","23/09/2013","21/12/2058","Appointed by academy members"
"1002725","","2075","07903002","Trustee","Mr","Clive","Robert James","Bush","20/04/2012","28/03/2051","Appointed by academy members"
"1002727","","2075","07903002","Trustee","Ms","Jackie","","Cutchey","14/10/2014","19/06/2050","Appointed by academy members"
"1002728","","2075","07903002","Trustee","Mr","Richard","Gregory","Hely Hutchinson","06/10/2015","10/02/2022","Appointed by academy members"
"1002730","","2075","07903002","Trustee","Ms","Marion","","Lloyd","30/01/2013","31/08/2022","Appointed by academy members"
"1002731","","2075","07903002","Member","Ms","Marion","","Lloyd","30/01/2013","31/08/2022","Appointed by academy members"
"1064916","","2075","07903002","Member","Mrs","Helen","Clare","Capron","15/07/2016","","Appointed by academy members"
"1064946","","2075","07903002","Member","Ms","Lesley","","Adams","20/04/2012","","Appointed by academy members"
"1269695","","2075","07903002","Trustee","Dr","Adam","","Boddison","12/10/2017","10/02/2022","Appointed by academy members"
"1377988","","2075","07903002","Accounting Officer","Mr","Stephen","","Chamberlain","01/11/2019","31/05/2022","N/A"
"1379348","","2075","07903002","Chair of Trustees","Mr","Robert","Douglas","Dool","01/09/2019","31/08/2023","Appointed by academy members"
"1379349","","2075","07903002","Trustee","Mr","Robert","Douglas","Dool","01/09/2019","31/08/2023","Appointed by GB/board"
"1531574","","2075","07903002","Member","Mr","Mark","","Kerr","01/01/2021","","Appointed by academy members"
"1531590","","2075","07903002","Trustee","Mr","Stephen","","Chamberlain","11/11/2019","31/05/2022","Ex-officio by virtue of office as headteacher/principal"
"1531591","","2075","07903002","Trustee","","Rosie","","Weaver","22/10/2020","22/10/2024","Appointed by academy members"
"1531592","","2075","07903002","Trustee","","Catherina","","Quinn","11/02/2021","31/08/2022","Appointed by academy members"
"1537337","","2075","07903002","Trustee","Mr","Amritpal","","Singh","08/07/2021","07/07/2025","Appointed by academy members"
"1599447","","2075","07903002","Accounting Officer","Mr","Craig","","D'Cunha","01/06/2022","","N/A"
"1600433","","2075","07903002","Trustee","Mr","Benjamin","","Stickley","10/02/2022","09/02/2026","Appointed by academy members"
"1600434","","2075","07903002","Trustee","Ms","Shaheen","","Myers","10/02/2022","09/02/2026","Appointed by academy members"
"1299102","","2076","08725920","Chair of Trustees","Mr","David","William","Parr","02/11/2017","01/11/2021","Appointed by academy members"
"1299108","","2076","08725920","Chief Financial Officer","Mrs","Lisa","Jayne","Howfield","01/11/2020","","N/A"
"1449742","","2076","08725920","Accounting Officer","Mrs","Sarah","","Martin","01/09/2019","","N/A"
"1449755","","2076","08725920","Trustee","Mr","Daniel","","Pascall","15/02/2019","14/02/2023","Appointed by academy members"
"1449763","","2076","08725920","Trustee","Mrs","Margaret","","Cheshire","07/01/2019","06/01/2023","Appointed by academy members"
"1506058","","2076","08725920","Trustee","Dr","Anne-Marie","","McBlain","16/10/2020","15/10/2024","Appointed by GB/board"
"1508824","","2076","08725920","Member","Mr","David","","Parr","11/07/2019","","Appointed by GB/board"
"1508826","","2076","08725920","Member","Mrs","Jane","","Booth","21/09/2020","","Appointed by GB/board"
"1508827","","2076","08725920","Member","Mr","Jeffrey","","Welch","11/06/2019","","Appointed by GB/board"
"1508828","","2076","08725920","Member","Mrs","Sarah","","Burns","01/10/2019","","Appointed by GB/board"
"1170143","","2079","08414933","Member","Mrs","Ann","Margaret","Starr","01/09/2016","","Any additional members appointed by the members of the academy trust"
"1170144","","2079","08414933","Member","Mr","Ian","","Kirby","15/02/2017","","Appointed by academy members"
"1237362","","2079","08414933","Shared Chair of Local Governing Body - Group","Mrs","Samantha","","Gould","","","Appointed by GB/board"
"1288697","","2079","08414933","Trustee","Mrs","Tracey","Kay","Guise","21/03/2018","20/03/2022","Appointed by academy members"
"1342424","","2079","08414933","Member","Mr","Richard","","Forrest","22/02/2013","","Original (signatory) members"
"1396372","","2079","08414933","Member","Mrs","Tracey","Kay","Guise","01/01/2019","","Appointed by foundation/Trust"
"1396386","","2079","08414933","Trustee","Mrs","Alison","","Young","01/09/2019","31/08/2023","Appointed by foundation/Trust"
"1459188","","2079","08414933","Trustee","Mr","John","Bernard William","Mann","28/08/2020","28/08/2024","Appointed by GB/board"
"1459190","","2079","08414933","Accounting Officer","Mr","Jay","","Hart","01/09/2020","","N/A"
"1459191","","2079","08414933","Chief Financial Officer","Mr","Heather","","Kruger","05/09/2020","","N/A"
"1250865","","2081","08614382","Accounting Officer","","Heidi","","Hoskin","29/11/2017","","N/A"
"1272342","","2081","08614382","Chief Financial Officer","Mr","Stuart","","Robertson","01/01/2018","","N/A"
"1300433","","2081","08614382","Member","","Ruth","Anne","Dolan","25/06/2018","","Appointed by academy members"
"1301121","","2081","08614382","Member","","Paul","Lloyd","Jones","06/07/2018","","Appointed by academy members"
"1301123","","2081","08614382","Member","","Lorraine","","Heath","06/07/2018","","Appointed by academy members"
"1002770","","2082","08842629","Accounting Officer","Mr","Graham","","Stephenson","14/02/2014","","N/A"
"1044321","","2082","08842629","Member","Mrs","Susan","","Edgar","16/05/2016","","Appointed by academy members"
"1050956","","2082","08842629","Member","Mrs","Patricia","","Dutton","01/02/2014","","Original (signatory) members"
"1298416","","2082","08842629","Trustee","Mrs","Janet","","Foster","22/05/2018","21/05/2022","Appointed by GB/board"
"1374047","","2082","08842629","Member","Mrs","Joanne","","Turnbull","04/04/2019","","Appointed by academy members"
"1374302","","2082","08842629","Trustee","Mr","Andrew","","Wake","16/07/2019","15/07/2023","Appointed by GB/board"
"1374306","","2082","08842629","Trustee","Mr","Neil","","Macknight","16/07/2019","15/07/2023","Appointed by GB/board"
"1398252","","2082","08842629","Member","","Rachel","","Orr","17/09/2019","","Appointed by academy members"
"1435984","","2082","08842629","Chief Financial Officer","Mrs","Beverly","","Feetham","23/03/2020","","N/A"
"1471721","","2082","08842629","Member","Mr","Christopher","","Campbell","05/10/2020","","Appointed by academy members"
