"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
20142,23220,"The Meadows Community Pre-school","Children's Centre Link","01-01-1900"
20142,23311,"Thurcroft Children and Family Centre","Children's Centre Link","01-01-1900"
20179,23405,"Valley Park Children's Centre","Children's Centre Link","01-01-1900"
20182,20727,"Walthamstow East Children Centre","Children's Centre Link","01-01-1900"
20194,23630,"South Children's Centre","Children's Centre Link","01-01-1900"
20200,20208,"Bas7 Northlands Park Family Hub","Children's Centre Link","14-06-2017"
20204,20208,"Bas7 Northlands Park Family Hub","Children's Centre Link","14-06-2017"
20208,20200,"Bas10 the All About Family Hub Delivery Site","Children's Centre Link","14-06-2017"
20208,20204,"Bas7/A Fryerns Farm Family Hub Delivery Site","Children's Centre Link","14-06-2017"
20215,20216,"Batley East Children's Centre","Children's Centre Link","01-01-1900"
20215,20567,"Carlinghow & Wilton Children's Centre","Children's Centre Link","01-01-1900"
20215,22902,"Staincliffe & Healey Children's Centre","Children's Centre Link","01-01-1900"
20216,20215,"Batley Central Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20220,21985,"Melcombe Children's Centre","Children's Centre Link","01-01-1900"
20221,22447,"North West Locality Hub Lead -Queen's Park Children's Centre","Children's Centre Link","01-01-1900"
20223,22355,"Pendleside Children's Centre","Children's Centre Link","01-01-1900"
20225,20743,"Westminster Children's Centre","Children's Centre Link","01-01-1900"
20229,20053,"Avebury Meadows Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20229,20289,"Bewcastle Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20231,20458,"Bromborough Children's Centre","Children's Centre Link","01-01-1900"
20235,23101,"Sydney Russell Children's Centre","Children's Centre Link","01-01-1900"
20238,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20240,23543,"Westleigh Children's and Community Centre","Children's Centre Link","29-04-2016"
20246,21606,"Ince Sure Start Children's Centre","Children's Centre Link","29-04-2016"
20247,20939,"Flying Start Central @Denbigh","Children's Centre Link","01-01-1900"
20247,22951,"Flying Start Central @Stopsley Baptist Church","Children's Centre Link","04-07-2017"
20248,20910,"Flying Start West Children's Centre","Children's Centre Link","04-07-2017"
20249,22736,"Sure Start Children's Centre Skirlaugh","Children's Centre Link","01-01-1900"
20254,20525,"Buttercups and Bunnies Children's Centre","Children's Centre Link","01-01-1900"
20255,20313,"Shortbrook Children's Centre","Children's Centre Link","01-01-1900"
20257,22205,"Northfields & West Humberstone Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20261,21591,"Formerly Hunts Cross Children's Centre","Children's Centre Link","01-01-1900"
20270,21748,"Langworthy Children's Centre","Children's Centre Link","01-01-1900"
20270,22421,"Primrose Hill Children's Centre","Children's Centre Link","01-01-1900"
20274,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20278,20356,"The Chestnuts Centre","Children's Centre Link","01-01-1900"
20286,20975,"Dovers Green Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20289,20229,"Beaumont Leys & Stocking Farm Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20295,23745,"Birkenhead Hub  - Brassey Gardens","Children's Centre Link","01-01-1900"
20301,22739,"Sleaford, Billinghay and Caythorpe Children's Centre","Children's Centre Link","01-01-1900"
20304,21865,"Louth and Holton-le-Clay Children's Centre","Children's Centre Link","01-01-1900"
20308,20483,"Brownhills Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20308,21306,"Greenfield Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20308,21770,"Leighswood Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20308,22350,"Pelsall Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20308,22373,"Pheasey Park Farm Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20308,22962,"Streetly Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20311,22298,"Paddock - Sure Start Paddock Children's Centre","Children's Centre Link","01-01-1900"
20313,20255,"Beighton Children's Centre","Children's Centre Link","01-01-1900"
20313,20635,"Charnock Children's Centre","Children's Centre Link","01-01-1900"
20313,21347,"Halfway NI and Children's Centre","Children's Centre Link","01-01-1900"
20313,20136,"Athelstan (Handsworth) Children's Centre","Children's Centre Link","31-07-2017"
20313,23672,"Woodthorpe Children's Centre","Children's Centre Link","31-07-2017"
20313,23651,"Woodhouse Children's Centre","Children's Centre Link","31-07-2017"
20314,21268,"Gomersal & Littletown Children's Centre","Children's Centre Link","01-01-1900"
20314,21836,"Liversedge Children's Centre","Children's Centre Link","01-01-1900"
20315,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20316,20454,"Taunton West","Children's Centre Link","01-01-1900"
20320,23106,"Home Tree Children's Centre","Children's Centre Link","01-01-1900"
20322,21223,"Fulham Central children's centre","Children's Centre Link","01-01-1900"
20323,21990,"Little Petals, Merry-Go-Round and Happy Valley Children's Centre","Children's Centre Link","01-01-1900"
20324,21203,"Four Acres & Bishopsworth Children's Centre","Children's Centre Link","01-01-1900"
20327,23140,"Thameside Children's Centre P2-2","Children's Centre Link","01-01-1900"
20331,20677,"Chester Victoria Children's Centre","Children's Centre Link","01-01-1900"
20334,20346,"Bloxwich Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20334,21056,"Edgar Stammers Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20334,21403,"Hatherton Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20336,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20342,20610,"Green Wood Children's Centre","Children's Centre Link","01-01-1900"
20343,22268,"Orchard Vale Children's Centre","Children's Centre Link","01-01-1900"
20346,20334,"Blakenall Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20356,20278,"Berryfields Community & Children's Centre","Children's Centre Link","01-01-1900"
20362,21816,"West Children's Centre","Children's Centre Link","01-01-1900"
20367,20368,"Boston, Carlton Road and Old Leake Children's Centre","Children's Centre Link","01-01-1900"
20368,20367,"Boston Carlton Road","Children's Centre Link","01-01-1900"
20368,22245,"Old Leake","Children's Centre Link","01-01-1900"
20370,23278,"The West End Gateway, The Nest and Hop-a-Long Children's Centre","Children's Centre Link","01-01-1900"
20371,22748,"Soham Child and Family Zone","Children's Centre Link","29-03-2018"
20376,22784,"South Witham and Bourne Children's Centre","Children's Centre Link","01-01-1900"
20378,21240,"Bowes and Garfield Children's Centre","Children's Centre Link","01-01-1900"
20382,20388,"Bra2/C Silver End Family Hub Delivery Site","Children's Centre Link","01-01-1900"
20388,20382,"Bra2 Harlequin Family Hub Delivery Site","Children's Centre Link","01-01-1900"
20392,21166,"Filton Children's Centre","Children's Centre Link","01-01-1900"
20403,20404,"Braunstone Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20404,20403,"Braunstone Frith Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20404,22105,"New Parks Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20404,22569,"Rowley Fields Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20404,23503,"West End Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20417,20714,"Chiswick Children's Centre","Children's Centre Link","26-04-2016"
20418,21452,"Henbury Court Children's Centre","Children's Centre Link","01-01-1900"
20420,21546,"Honeyhill Children's Centre","Children's Centre Link","01-01-1900"
20423,23239,"The Poppy Children's Centre","Children's Centre Link","01-01-1900"
20424,21156,"Fenchurch Street Children's Centre","Children's Centre Link","01-01-1900"
20426,20478,"Broseley Children's Centre delivery point","Children's Centre Link","01-01-1900"
20433,23332,"Tonge Start Well Children's Centre","Children's Centre Link","01-01-1900"
20434,22467,"Ramsey Child and Family Zone","Children's Centre Link","28-03-2018"
20435,21173,"First Start Children's Centre","Children's Centre Link","31-07-2017"
20439,22759,"South Camberley Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20441,22301,"Paignton & Brixham Children's Centre","Children's Centre Link","01-01-1900"
20444,22666,"Selhurst Children's Centre","Children's Centre Link","01-01-1900"
20446,22329,"Partington Children's Centre","Children's Centre Link","01-01-1900"
20453,22214,"Nunsthorpe and Bradley Park Children's Centre","Children's Centre Link","01-01-1900"
20454,20316,"Galmington Building","Children's Centre Link","01-01-1900"
20458,20231,"Bebington Children's Centre","Children's Centre Link","01-01-1900"
20462,23332,"Tonge Start Well Children's Centre","Children's Centre Link","01-01-1900"
20465,21794,"Linden Children's Centre","Children's Centre Link","01-01-1900"
20475,22677,"Sharrow Children's Centre","Children's Centre Link","01-01-1900"
20476,22832,"St Anne's Park Children's Centre","Children's Centre Link","01-01-1900"
20477,22329,"Partington Children's Centre","Children's Centre Link","01-01-1900"
20478,20426,"Shropshire Se Early Help Family Hub","Children's Centre Link","01-01-1900"
20483,20308,"Birchills & North Walsall Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20484,22388,"Platt Bridge Sure Start Children's Centre","Children's Centre Link","29-04-2016"
20491,21750,"Launceston Children's Centre","Children's Centre Link","01-01-1900"
20492,23206,"The Lemon Tree Children's Centre","Children's Centre Link","01-01-1900"
20499,21791,"Lincoln Children's Centre","Children's Centre Link","01-01-1900"
20506,21455,"Hengrove Children's Centre","Children's Centre Link","01-01-1900"
20506,23576,"Whitchurch Children's Centre","Children's Centre Link","01-01-1900"
20508,21173,"First Start Children's Centre","Children's Centre Link","31-07-2017"
20525,20254,"Bunnies Children's Centre","Children's Centre Link","01-01-1900"
20528,21788,"Linaker Children's Centre","Children's Centre Link","01-01-1900"
20529,22227,"Oakhill Children's Centre","Children's Centre Link","01-01-1900"
20533,22435,"Purley Oaks Children's Centre","Children's Centre Link","01-01-1900"
20533,22628,"Sanderstead Children's Centre","Children's Centre Link","01-01-1900"
20536,23630,"South Children's Centre","Children's Centre Link","01-01-1900"
20537,21198,"Forest First Children's Centre","Children's Centre Link","01-01-1900"
20539,21935,"Market Rasen and Caistor Children's Centre","Children's Centre Link","01-01-1900"
20541,22632,"Great Sankey Children's Centre","Children's Centre Link","01-01-1900"
20555,20863,"Creekmoor Library Outreach","Children's Centre Link","01-01-1900"
20565,22413,"Pound Park Nursery School and Children's Centre","Children's Centre Link","01-01-1900"
20566,21793,"Lincoln North and Carholme Children's Centre","Children's Centre Link","01-01-1900"
20567,20215,"Batley Central Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20579,21658,"Windham Croft Children's Centre","Children's Centre Link","01-01-1900"
20579,22054,"Mortlake Hall Children's Centre","Children's Centre Link","01-01-1900"
20581,23153,"The Balsam Children's Centre","Children's Centre Link","01-01-1900"
20584,21127,"Fairchildes Children's Centre","Children's Centre Link","01-01-1900"
20600,22739,"Sleaford, Billinghay and Caythorpe Children's Centre","Children's Centre Link","01-01-1900"
20603,21030,"East Marsh Children's Centre","Children's Centre Link","01-01-1900"
20606,20608,"Meole Children's Centre delivery point","Children's Centre Link","01-01-1900"
20607,22713,"Shrewsbury (N) Early Help Family Hub","Children's Centre Link","01-01-1900"
20608,20606,"Shrewsbury (S) Early Help Family Hub","Children's Centre Link","01-01-1900"
20609,22773,"Morda Children's Centre delivery point","Children's Centre Link","01-01-1900"
20610,20342,"Blossom Vale Children's Centre","Children's Centre Link","01-01-1900"
20621,23405,"Valley Park Children's Centre","Children's Centre Link","31-07-2017"
20623,20694,"Cedars Children's Centre","Children's Centre Link","01-01-1900"
20624,21977,"Chapel Allerton","Children's Centre Link","01-01-1900"
20625,23214,"The Lloyd Park Children Centre","Children's Centre Link","01-01-1900"
20628,21012,"Early Days Children's Centre","Children's Centre Link","31-07-2017"
20630,20127,"Crewkerne Building","Children's Centre Link","01-01-1900"
20630,21602,"Ilminster Building","Children's Centre Link","01-01-1900"
20631,21479,"East Central Children's Centre","Children's Centre Link","01-01-1900"
20635,20313,"Shortbrook Children's Centre","Children's Centre Link","01-01-1900"
20638,21813,"Little Hands Children's Centre","Children's Centre Link","01-01-1900"
20641,21887,"Lynnfield Primary School and CLC","Children's Centre Link","01-01-1900"
20641,23309,"Throston Primary School and Children's Centre","Children's Centre Link","01-01-1900"
20644,20910,"Flying Start West Children's Centre","Children's Centre Link","04-07-2017"
20664,23190,"The Fields Child and Family Centre","Children's Centre Link","01-04-2018"
20669,22219,"Oak Tree SSCC","Children's Centre Link","01-04-2015"
20671,23480,"Welton and Cherry Willingham Children's Centre","Children's Centre Link","01-01-1900"
20677,20331,"Blacon Children's Centre","Children's Centre Link","01-01-1900"
20685,20054,"Alders and Chestnuts Children's Centre","Children's Centre Link","01-01-1900"
20691,21182,"Flatts & Eastborough Children's Centre","Children's Centre Link","01-01-1900"
20694,20623,"Chandos Children's Centre","Children's Centre Link","01-01-1900"
20694,20698,"Children's Centre at Whitefriars","Children's Centre Link","01-01-1900"
20694,22385,"Pinner Wood","Children's Centre Link","01-01-1900"
20694,22917,"Stanmore park","Children's Centre Link","01-01-1900"
20695,21512,"Hillview Children's Centre","Children's Centre Link","01-01-1900"
20697,22317,"Flying Start South Children's Centre","Children's Centre Link","04-07-2017"
20698,20694,"Cedars Children's Centre","Children's Centre Link","01-01-1900"
20699,23425,"Vista Field Children's Centre","Children's Centre Link","01-01-1900"
20701,22738,"Slade Children's Centre","Children's Centre Link","01-01-1900"
20703,23463,"Wavertree Childwall & Woolton Children's Centre","Children's Centre Link","01-01-1900"
20707,21880,"The Courtyard Children's Centre","Children's Centre Link","01-01-1900"
20708,23248,"Parkside Children's Centre (prev:The Ridgeway Park Children Centre)","Children's Centre Link","01-01-1900"
20708,23707,"Yardley Children Centre","Children's Centre Link","01-01-1900"
20714,20417,"Brentford Children's Centre","Children's Centre Link","26-04-2016"
20717,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20720,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20721,20026,"Aberfeldy Children's Centre","Children's Centre Link","01-01-1900"
20724,22306,"Palfrey Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20726,21244,"Garston, Church & Mossley Hill Children's Centre","Children's Centre Link","01-01-1900"
20727,20182,"Barclay Children Centre","Children's Centre Link","01-01-1900"
20727,23666,"Woodside Children's Centre","Children's Centre Link","01-01-1900"
20729,22924,"Steers Mead Children's Centres","Children's Centre Link","06-09-2017"
20730,20022,"Abbey Road and Regents Park Children's Centre Information Point","Children's Centre Link","01-01-1900"
20730,21893,"Maida Vale Children's Centre","Children's Centre Link","01-01-1900"
20730,21955,"Marylebone Children's Centre Information Point","Children's Centre Link","01-01-1900"
20730,21995,"Micky Star Children's Centre","Children's Centre Link","01-01-1900"
20730,22297,"Paddington Green Children's Centre","Children's Centre Link","01-01-1900"
20733,21720,"Knightsbridge and Belgravia Children's Centre Information Point","Children's Centre Link","01-01-1900"
20733,21941,"Marsham Street Children's Centre","Children's Centre Link","01-01-1900"
20733,23502,"West End Children's Centre","Children's Centre Link","01-01-1900"
20737,22063,"Moulsecoomb Children's Centre","Children's Centre Link","12-04-2016"
20743,20225,"Unity College Blackpool Children's Centre","Children's Centre Link","01-01-1900"
20755,21442,"Heckmondwike Children's Centre","Children's Centre Link","01-01-1900"
20756,21492,"Highgate Outreach (Thrunscoe)","Children's Centre Link","01-01-1900"
20758,23044,"Sure Start Fleetwood Children's Centre","Children's Centre Link","01-01-1900"
20759,21156,"Fenchurch Street Children's Centre","Children's Centre Link","01-01-1900"
20766,20068,"Darfield Family Centre","Children's Centre Link","11-05-2016"
20768,21083,"Formerly Ellergreen Children's Centre","Children's Centre Link","01-01-1900"
20776,23334,"Torquay Children's Centre","Children's Centre Link","01-01-1900"
20780,20783,"Col1/A St Anne's and Castle Family Hub Delivery Site","Children's Centre Link","01-01-1900"
20783,20780,"Col1 Greenstead Family Hub Delivery Site","Children's Centre Link","01-01-1900"
20797,22035,"Montefiore Children's Centre","Children's Centre Link","01-01-1900"
20799,22521,"Riverside Children's Centre","Children's Centre Link","01-01-1900"
20800,21535,"Holme Valley North Children's Centre","Children's Centre Link","01-01-1900"
20801,21794,"Linden Children's Centre","Children's Centre Link","01-01-1900"
20810,23508,"West Hove Children's Centre","Children's Centre Link","12-04-2016"
20812,21843,"Log Cabin Children's Centre","Children's Centre Link","01-01-1900"
20821,22965,"Strong Close Nursery School & Children's Centre","Children's Centre Link","01-09-2015"
20826,23162,"The Brookfield Centre","Children's Centre Link","01-01-1900"
20834,23371,"Cottingley Under 3's","Children's Centre Link","01-01-1900"
20840,23441,"Walton Children's Centre","Children's Centre Link","01-01-1900"
20841,23515,"West Newport Children's Centre","Children's Centre Link","07-03-2016"
20856,21877,"Shropshire SW Early Help Family Hub (2)","Children's Centre Link","01-01-1900"
20857,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
20859,23521,"West Street Children's Centre","Children's Centre Link","05-05-2016"
20862,20039,"Taunton East","Children's Centre Link","01-01-1900"
20863,20555,"Canford Heath Children's Centre","Children's Centre Link","01-01-1900"
20864,23193,"The Grange Children's Centre","Children's Centre Link","01-01-1900"
20872,21775,"Leverhulme Start Well Link Site","Children's Centre Link","01-01-1900"
20872,22257,"Oldhams Start Well Link Site","Children's Centre Link","01-01-1900"
20873,22011,"Mill Hill, Small Steps and Crookhorn Lane Children's Centre","Children's Centre Link","01-01-1900"
20874,22236,"Malling Close Children's Centre","Children's Centre Link","01-01-1900"
20874,23365,"Tunstall Nursery School and Children Centre","Children's Centre Link","01-01-1900"
20874,23668,"Woodside Children's Centre","Children's Centre Link","01-01-1900"
20881,21149,"Fazakerley & Croxteth Children's Centre","Children's Centre Link","01-01-1900"
20885,23229,"The Orchard Children's Centre","Children's Centre Link","01-01-1900"
20888,22024,"Milton, Baffin's and Cumberland Children's Centre","Children's Centre Link","01-01-1900"
20889,22301,"Paignton & Brixham Children's Centre","Children's Centre Link","01-01-1900"
20910,21210,"Flying Start West @ Foxdell","Children's Centre Link","01-01-1900"
20910,20644,"Flying Start West @ Chaul End","Children's Centre Link","04-07-2017"
20910,20248,"Flying Start West @ Beechwood","Children's Centre Link","04-07-2017"
20910,23172,"Flying Start West @ Leagrave","Children's Centre Link","04-07-2017"
20910,22330,"Flying Start West @ Pastures Way","Children's Centre Link","04-07-2017"
20912,21135,"Falconwood & Welling Children's Centre","Children's Centre Link","05-05-2016"
20912,22169,"North Cray Neighbourhood Centre","Children's Centre Link","05-05-2016"
20914,21161,"Fibbersley Park Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20914,21781,"Lighthouse Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20914,23264,"The Sure Start Children's Centre at Bentley West","Children's Centre Link","01-01-1900"
20915,21908,"Manor Children's Centre","Children's Centre Link","01-01-1900"
20915,23320,"Tinsley Green Children's Centre","Children's Centre Link","01-01-1900"
20915,23691,"Wybourn Children's Centre","Children's Centre Link","31-07-2017"
20915,20102,"Arbourthorne & Norfolk Park Children's Centre","Children's Centre Link","31-07-2017"
20919,21004,"Earcroft Children's Centre","Children's Centre Link","01-01-1900"
20921,23736,"Clapton Park Children's Centre","Children's Centre Link","01-01-1900"
20924,20030,"Leytonstone Children's Centre","Children's Centre Link","01-01-1900"
20925,22329,"Partington Children's Centre","Children's Centre Link","01-01-1900"
20931,23184,"Thurnscoe Family Centre","Children's Centre Link","11-05-2016"
20932,22456,"Radiomarathon Children's Centre","Children's Centre Link","01-02-2016"
20933,20238,"Bede Children's Centre","Children's Centre Link","01-01-1900"
20933,20274,"Bensham Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20933,20315,"Birtley Children's Centre @ Barley Mow","Children's Centre Link","01-01-1900"
20933,20336,"Blaydon Winlaton Children's Centre","Children's Centre Link","01-01-1900"
20933,20717,"Chopwell and Highfield Children's Centre","Children's Centre Link","01-01-1900"
20933,20720,"Chowdene Children's Centre","Children's Centre Link","01-01-1900"
20933,20857,"Crawcrook Children's Centre @ Greenside","Children's Centre Link","01-01-1900"
20933,21152,"Felling Children's Centre","Children's Centre Link","01-01-1900"
20933,21759,"Leam Lane Children's Centre","Children's Centre Link","01-01-1900"
20933,21958,"Matov Children's Centre","Children's Centre Link","01-01-1900"
20933,23114,"Teams Children's Centre","Children's Centre Link","01-01-1900"
20935,22805,"Spalding and Deeping St Nicholas Centre","Children's Centre Link","01-01-1900"
20939,20247,"Flying Start Central Children's Centre","Children's Centre Link","01-01-1900"
20940,21536,"Holme Valley South Children's Centre","Children's Centre Link","01-01-1900"
20940,21710,"Grange Moor & Kirkburton Children's Centre","Children's Centre Link","01-01-1900"
20942,21990,"Little Petals, Merry-Go-Round and Happy Valley Children's Centre","Children's Centre Link","01-01-1900"
20943,23042,"Sure Start Central Children's Centre","Children's Centre Link","01-01-1900"
20944,21314,"Greenside Primary and Children's Centre","Children's Centre Link","04-04-2017"
20945,21314,"Greenside Primary and Children's Centre","Children's Centre Link","04-04-2017"
20956,22470,"Ravensthorpe Children's Centre","Children's Centre Link","01-01-1900"
20960,22596,"Little Stars at Anston Brook","Children's Centre Link","01-01-1900"
20960,22973,"The Sue Walker Children & Family Centre","Children's Centre Link","01-01-1900"
20966,21896,"Maidendale","Children's Centre Link","01-01-1900"
20969,23206,"The Lemon Tree Children's Centre","Children's Centre Link","01-01-1900"
20970,20971,"Dorking Rural Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20971,20970,"Dorking Nursery School Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20973,21319,"Grove House Children's Centre","Children's Centre Link","01-01-1900"
20974,21606,"Ince Sure Start Children's Centre","Children's Centre Link","29-04-2016"
20975,20286,"Betchworth & Buckland Sure Start Children's Centre","Children's Centre Link","01-01-1900"
20981,22407,"Portsdown and Drayton and Farlington Children's Centre","Children's Centre Link","01-01-1900"
20984,23443,"WANDS Children's Centre","Children's Centre Link","01-01-1900"
20990,22503,"Ridge Hill Children's Centre","Children's Centre Link","01-01-1900"
20991,20052,"West Coast & Exmoor","Children's Centre Link","01-01-1900"
21003,21319,"Grove House Children's Centre","Children's Centre Link","01-01-1900"
21004,20919,"Darwen Children's Centre","Children's Centre Link","01-01-1900"
21011,22929,"Steppingstones Sure Start Children's Centre","Children's Centre Link","01-01-1900"
21012,21211,"Foxhill and Grenoside Children's Centre","Children's Centre Link","01-01-1900"
21012,22036,"Monteney Children's Centre","Children's Centre Link","01-01-1900"
21012,20093,"Angram Bank Children's Centre","Children's Centre Link","31-07-2017"
21012,20628,"Chapeltown","Children's Centre Link","31-07-2017"
21017,21255,"Gladstone Children's Centre","Children's Centre Link","01-01-1900"
21020,20004,"Ryde Children's Centre","Children's Centre Link","07-03-2016"
21026,20114,"Around Poplar Children's Centre","Children's Centre Link","01-01-1900"
21030,20603,"Central Outreach","Children's Centre Link","01-01-1900"
21030,22244,"Old Clee Outreach","Children's Centre Link","01-01-1900"
21031,23515,"West Newport Children's Centre","Children's Centre Link","07-03-2016"
21038,22445,"Queen Street Children's Centre","Children's Centre Link","01-01-1900"
21048,22677,"Sharrow Children's Centre","Children's Centre Link","31-07-2017"
21049,21649,"Kensington Avenue Children's Centre","Children's Centre Link","01-01-1900"
21056,20334,"Blakenall Sure Start Children's Centre","Children's Centre Link","01-01-1900"
21059,21292,"Grassroots","Children's Centre Link","01-04-2016"
21083,20768,"Clubmoor & Ellergreen Children's Centre","Children's Centre Link","01-01-1900"
21084,23481,"Wem Children's Centre delivery point","Children's Centre Link","01-01-1900"
21087,22552,"Rosendale Primary School & Children's Centre","Children's Centre Link","01-01-1900"
21089,21512,"Hillview Children's Centre","Children's Centre Link","01-01-1900"
21093,21184,"Fleet Fireflies Children's Centre","Children's Centre Link","01-01-1900"
21093,23369,"Wild Rose Children's Centre","Children's Centre Link","01-01-1900"
21094,21322,"Sutton Child and Family Delivery Site","Children's Centre Link","29-03-2018"
21110,21928,"Marfleet Children's Centre","Children's Centre Link","01-01-1900"
21111,22269,"Ormesby SureStart Children's Centre","Children's Centre Link","01-01-1900"
21123,22617,"Saffron Sure Start Children's Centre","Children's Centre Link","01-01-1900"
21127,20584,"Castle Hill Early Years Centre","Children's Centre Link","01-01-1900"
21130,21314,"Greenside Primary and Children's Centre","Children's Centre Link","01-01-1900"
21131,23399,"Vale of Belvoir Sure Start Children's Centre","Children's Centre Link","01-01-1900"
21135,20912,"Danson Children's Centre","Children's Centre Link","05-05-2016"
21138,21923,"Maples Children's Centre","Children's Centre Link","01-01-1900"
21141,21674,"Kings Meadow Children's Centre","Children's Centre Link","01-01-1900"
21149,20881,"Croxteth Children's Centre","Children's Centre Link","01-01-1900"
21152,20933,"Gateshead Children's Centre @ Deckham","Children's Centre Link","01-01-1900"
21156,20424,"Bricknell Children's Centre","Children's Centre Link","01-01-1900"
21156,20759,"Clifton Children's Centre","Children's Centre Link","01-01-1900"
21156,21733,"Lambert Children's Centre","Children's Centre Link","01-01-1900"
