URN,LA,ESTAB,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,PNUMFSMEVER
100033,202,3361,State-funded primary,210,107,103,51.0%,49.0%,5,2.4%,36,17.1%,60,150,0,28.6%,71.4%,0%,60,65,31.0%
100034,202,3370,State-funded primary,235,107,128,45.5%,54.5%,28,11.9%,20,8.5%,93,142,0,39.6%,60.4%,0%,77,74,31.5%
100035,202,3391,State-funded primary,303,140,163,46.2%,53.8%,5,1.7%,37,12.2%,163,140,0,53.8%,46.2%,0%,94,90,29.7%
100036,202,3398,State-funded primary,167,80,87,47.9%,52.1%,13,7.8%,19,11.4%,53,114,0,31.7%,68.3%,0%,73,75,44.9%
100039,202,3429,State-funded primary,174,95,79,54.6%,45.4%,2,1.1%,35,20.1%,45,129,0,25.9%,74.1%,0%,86,89,51.1%
100040,202,3441,State-funded primary,214,118,96,55.1%,44.9%,4,1.9%,28,13.1%,113,101,0,52.8%,47.2%,0%,74,81,37.9%
100041,202,3482,State-funded primary,186,100,86,53.8%,46.2%,5,2.7%,27,14.5%,84,102,0,45.2%,54.8%,0%,67,72,38.7%
100042,202,3517,State-funded primary,227,110,117,48.5%,51.5%,6,2.6%,46,20.3%,159,68,0,70.0%,30.0%,0%,96,94,41.4%
100043,202,3521,State-funded primary,206,105,101,51.0%,49.0%,6,2.9%,44,21.4%,90,116,0,43.7%,56.3%,0%,95,100,48.5%
100044,202,3546,State-funded primary,134,72,62,53.7%,46.3%,6,4.5%,38,28.4%,64,70,0,47.8%,52.2%,0%,73,83,61.9%
100045,202,3560,State-funded primary,197,87,110,44.2%,55.8%,5,2.5%,32,16.2%,96,101,0,48.7%,51.3%,0%,92,104,52.8%
100046,202,3568,State-funded primary,196,100,96,51.0%,49.0%,3,1.5%,25,12.8%,59,136,1,30.1%,69.4%,0.5%,45,49,25.0%
100047,202,3649,State-funded primary,204,106,98,52.0%,48.0%,5,2.5%,27,13.2%,94,110,0,46.1%,53.9%,0%,84,90,44.1%
100048,202,3655,State-funded primary,260,145,115,55.8%,44.2%,6,2.3%,63,24.2%,125,135,0,48.1%,51.9%,0%,172,168,64.6%
100049,202,4104,State-funded secondary,883,351,532,39.8%,60.2%,25,2.8%,160,18.1%,612,261,10,69.3%,29.6%,1.1%,471,452,51.2%
100050,202,4166,State-funded secondary,1184,1140,44,96.3%,3.7%,20,1.7%,135,11.4%,391,788,5,33.0%,66.6%,0.4%,390,374,31.6%
100051,202,4196,State-funded secondary,1040,453,587,43.6%,56.4%,35,3.4%,158,15.2%,833,207,0,80.1%,19.9%,0%,585,579,55.7%
100052,202,4275,State-funded secondary,1326,623,703,47.0%,53.0%,34,2.6%,117,8.8%,610,716,0,46.0%,54.0%,0%,433,525,39.6%
100053,202,4285,State-funded secondary,1135,382,753,33.7%,66.3%,72,6.3%,234,20.6%,277,825,33,24.4%,72.7%,2.9%,336,379,33.4%
100054,202,4611,State-funded secondary,1045,890,155,85.2%,14.8%,14,1.3%,131,12.5%,318,725,2,30.4%,69.4%,0.2%,185,198,18.9%
100055,202,4652,State-funded secondary,769,378,391,49.2%,50.8%,28,3.6%,80,10.4%,379,390,0,49.3%,50.7%,0%,340,386,50.2%
100056,202,4688,State-funded secondary,853,68,785,8.0%,92.0%,29,3.4%,97,11.4%,361,486,6,42.3%,57.0%,0.7%,301,321,37.6%
100059,202,5401,State-funded secondary,991,958,33,96.7%,3.3%,9,0.9%,57,5.8%,467,521,3,47.1%,52.6%,0.3%,237,332,33.5%
100060,202,5950,State-funded special school,0,0,0,,,0,,0,,0,0,0,0%,0%,0%,0
100061,202,6013,Independent school,246,246,0,100%,0%,0,0%,10,4.1%,0,0,0,0%,0%,0%,0
100062,202,6014,Independent school,170,170,0,100%,0%,1,0.6%,0,0%,0,0,0,0%,0%,0%,0
100063,202,6016,Independent school,184,184,0,100%,0%,1,0.5%,31,16.8%,0,0,0,0%,0%,0%,0
100064,202,6017,Independent school,469,0,469,0%,100%,1,0.2%,88,18.8%,0,0,0,0%,0%,0%,0
100065,202,6018,Independent school,1271,107,1164,8.4%,91.6%,2,0.2%,131,10.3%,0,0,0,0%,0%,0%,0
100066,202,6038,Independent school,213,213,0,100%,0%,1,0.5%,22,10.3%,0,0,0,0%,0%,0%,0
100067,202,6084,Independent school,245,237,8,96.7%,3.3%,3,1.2%,24,9.8%,0,0,0,0%,0%,0%,0
100068,202,6174,Independent school,137,59,78,43.1%,56.9%,2,1.5%,16,11.7%,0,0,0,0%,0%,0%,0
100069,202,6179,Independent school,163,0,163,0%,100%,1,0.6%,34,20.9%,0,0,0,0%,0%,0%,0
100070,202,6181,Independent school,307,0,307,0%,100%,1,0.3%,37,12.1%,0,0,0,0%,0%,0%,0
100071,202,6195,Independent school,172,70,102,40.7%,59.3%,1,0.6%,10,5.8%,0,0,0,0%,0%,0%,0
100072,202,6210,Independent school,133,0,133,0%,100%,0,0%,34,25.6%,0,0,0,0%,0%,0%,0
100073,202,6264,Independent school,372,143,229,38.4%,61.6%,0,0%,5,1.3%,0,0,0,0%,0%,0%,0
100074,202,6269,Independent school,439,157,282,35.8%,64.2%,3,0.7%,47,10.7%,0,0,0,0%,0%,0%,0
100075,202,6295,Independent school,168,78,90,46.4%,53.6%,0,0%,28,16.7%,0,0,0,0%,0%,0%,0
100076,202,6307,Independent school,932,932,0,100%,0%,0,0%,102,10.9%,0,0,0,0%,0%,0%,0
100077,202,6353,Independent school,86,86,0,100%,0%,0,0%,8,9.3%,0,0,0,0%,0%,0%,0
100078,202,6360,Independent school,218,95,123,43.6%,56.4%,5,2.3%,39,17.9%,0,0,0,0%,0%,0%,0
100080,202,6380,Independent school,642,271,371,42.2%,57.8%,0,0%,53,8.3%,0,0,0,0%,0%,0%,0
100081,202,6384,Independent school,103,43,60,41.7%,58.3%,0,0%,7,6.8%,0,0,0,0%,0%,0%,0
100082,202,6385,Independent school,691,340,351,49.2%,50.8%,0,0%,0,0%,0,0,0,0%,0%,0%,0
100084,202,6387,Independent school,196,134,62,68.4%,31.6%,2,1.0%,80,40.8%,0,0,0,0%,0%,0%,0
100087,202,6392,Independent school,192,97,95,50.5%,49.5%,1,0.5%,3,1.6%,0,0,0,0%,0%,0%,0
100090,202,6395,Independent school,181,78,103,43.1%,56.9%,0,0%,62,34.3%,0,0,0,0%,0%,0%,0
100091,202,7008,State-funded special school,36,22,14,61.1%,38.9%,36,100%,0,0%,36,0,0,100%,0%,0%,19,17,47.2%
100092,202,7137,State-funded special school,30,3,27,10.0%,90.0%,30,100%,0,0%,7,23,0,23.3%,76.7%,0%,23,27,90.0%
100094,202,7201,State-funded special school,76,52,24,68.4%,31.6%,5,6.6%,71,93.4%,0,0,0,0%,0%,0%,11
100096,202,7205,State-funded special school,260,72,188,27.7%,72.3%,260,100%,0,0%,118,142,0,45.4%,54.6%,0%,134,121,46.5%
100097,203,1001,State-funded nursery,155,87,68,56.1%,43.9%,0,0%,8,5.2%,59,94,2,38.1%,60.6%,1.3%,35
100098,203,1006,State-funded nursery,205,101,104,49.3%,50.7%,0,0%,35,17.1%,50,153,2,24.4%,74.6%,1.0%,49
100099,203,1016,State-funded nursery,120,58,62,48.3%,51.7%,0,0%,21,17.5%,40,79,1,33.3%,65.8%,0.8%,42
100102,203,1022,State-funded nursery,230,110,120,47.8%,52.2%,0,0%,35,15.2%,63,167,0,27.4%,72.6%,0%,25
100103,203,1101,Pupil referral unit,125,39,86,31.2%,68.8%,53,42.4%,72,57.6%,4,121,0,3.2%,96.8%,0%,43,83,66.4%
100113,203,2028,State-funded primary,869,414,455,47.6%,52.4%,11,1.3%,134,15.4%,476,390,3,54.8%,44.9%,0.3%,150,170,19.6%
100114,203,2071,State-funded primary,427,215,212,50.4%,49.6%,10,2.3%,88,20.6%,258,163,6,60.4%,38.2%,1.4%,138,157,36.8%
100115,203,2106,State-funded primary,235,96,139,40.9%,59.1%,9,3.8%,57,24.3%,114,116,5,48.5%,49.4%,2.1%,60,62,26.4%
100120,203,2174,State-funded primary,411,184,227,44.8%,55.2%,4,1.0%,57,13.9%,135,276,0,32.8%,67.2%,0%,145,161,39.2%
100125,203,2228,State-funded primary,368,184,184,50.0%,50.0%,9,2.4%,95,25.8%,172,196,0,46.7%,53.3%,0%,113,129,35.1%
100126,203,2242,State-funded primary,297,154,143,51.9%,48.1%,4,1.3%,50,16.8%,158,139,0,53.2%,46.8%,0%,78,88,29.6%
100127,203,2258,State-funded primary,429,227,202,52.9%,47.1%,10,2.3%,49,11.4%,116,312,1,27.0%,72.7%,0.2%,60,68,15.9%
100129,203,2271,State-funded primary,349,172,177,49.3%,50.7%,4,1.1%,59,16.9%,115,233,1,33.0%,66.8%,0.3%,125,133,38.1%
100131,203,2299,State-funded primary,417,196,221,47.0%,53.0%,7,1.7%,80,19.2%,113,302,2,27.1%,72.4%,0.5%,124,145,34.8%
100134,203,2325,State-funded primary,733,364,369,49.7%,50.3%,14,1.9%,93,12.7%,199,533,1,27.1%,72.7%,0.1%,147,155,21.1%
100136,203,2353,State-funded primary,400,213,187,53.2%,46.8%,12,3.0%,101,25.2%,127,273,0,31.8%,68.3%,0%,119,127,31.8%
100137,203,2410,State-funded primary,234,116,118,49.6%,50.4%,3,1.3%,55,23.5%,102,132,0,43.6%,56.4%,0%,30,38,16.2%
100140,203,2471,State-funded primary,866,422,444,48.7%,51.3%,20,2.3%,160,18.5%,236,625,5,27.3%,72.2%,0.6%,247,271,31.3%
100141,203,2552,State-funded primary,478,209,269,43.7%,56.3%,3,0.6%,46,9.6%,122,352,4,25.5%,73.6%,0.8%,73,79,16.5%
100142,203,2598,State-funded primary,219,115,104,52.5%,47.5%,6,2.7%,30,13.7%,76,143,0,34.7%,65.3%,0%,54,58,26.5%
100146,203,2662,State-funded primary,422,197,225,46.7%,53.3%,7,1.7%,45,10.7%,84,338,0,19.9%,80.1%,0%,79,84,19.9%
100149,203,2798,State-funded primary,444,249,195,56.1%,43.9%,7,1.6%,65,14.6%,83,361,0,18.7%,81.3%,0%,78,81,18.2%
100150,203,2801,State-funded primary,419,214,205,51.1%,48.9%,13,3.1%,141,33.7%,112,307,0,26.7%,73.3%,0%,145,149,35.6%
100152,203,2813,State-funded primary,492,241,251,49.0%,51.0%,9,1.8%,118,24.0%,166,324,2,33.7%,65.9%,0.4%,197,205,41.7%
100154,203,2851,State-funded primary,491,265,226,54.0%,46.0%,12,2.4%,50,10.2%,222,260,9,45.2%,53.0%,1.8%,64,73,14.9%
100155,203,2877,State-funded primary,459,229,230,49.9%,50.1%,4,0.9%,90,19.6%,305,154,0,66.4%,33.6%,0%,135,145,31.6%
100158,203,2900,State-funded primary,808,382,426,47.3%,52.7%,5,0.6%,53,6.6%,469,333,6,58.0%,41.2%,0.7%,230,257,31.8%
100159,203,2901,State-funded primary,373,159,214,42.6%,57.4%,6,1.6%,61,16.4%,126,247,0,33.8%,66.2%,0%,135,148,39.7%
100162,203,2915,State-funded primary,226,120,106,53.1%,46.9%,3,1.3%,30,13.3%,84,140,2,37.2%,61.9%,0.9%,42,50,22.1%
100163,203,2916,State-funded primary,416,206,210,49.5%,50.5%,7,1.7%,61,14.7%,189,227,0,45.4%,54.6%,0%,105,132,31.7%
100164,203,2917,State-funded primary,450,239,211,53.1%,46.9%,9,2.0%,32,7.1%,203,247,0,45.1%,54.9%,0%,99,110,24.4%
100165,203,3322,State-funded primary,191,104,87,54.5%,45.5%,4,2.1%,20,10.5%,52,138,1,27.2%,72.3%,0.5%,68,82,42.9%
100166,203,3331,State-funded primary,209,108,101,51.7%,48.3%,6,2.9%,32,15.3%,36,173,0,17.2%,82.8%,0%,21,31,14.8%
100167,203,3338,State-funded primary,455,218,237,47.9%,52.1%,6,1.3%,54,11.9%,97,358,0,21.3%,78.7%,0%,36,48,10.5%
100168,203,3382,State-funded primary,356,167,189,46.9%,53.1%,3,0.8%,28,7.9%,106,250,0,29.8%,70.2%,0%,48,66,18.5%
100169,203,3481,State-funded primary,185,99,86,53.5%,46.5%,1,0.5%,38,20.5%,77,108,0,41.6%,58.4%,0%,77,88,47.6%
100170,203,3500,State-funded primary,329,174,155,52.9%,47.1%,3,0.9%,61,18.5%,129,196,4,39.2%,59.6%,1.2%,69,82,24.9%
100171,203,3526,State-funded secondary,1598,776,822,48.6%,51.4%,23,1.4%,263,16.5%,931,653,14,58.3%,40.9%,0.9%,514,676,42.3%
100173,203,3561,State-funded primary,341,159,182,46.6%,53.4%,4,1.2%,35,10.3%,134,207,0,39.3%,60.7%,0%,68,80,23.5%
100174,203,3577,State-funded primary,221,122,99,55.2%,44.8%,3,1.4%,44,19.9%,65,156,0,29.4%,70.6%,0%,84,86,38.9%
100175,203,3585,State-funded primary,201,97,104,48.3%,51.7%,1,0.5%,19,9.5%,26,173,2,12.9%,86.1%,1.0%,35,43,21.4%
100176,203,3604,State-funded primary,210,98,112,46.7%,53.3%,1,0.5%,7,3.3%,57,153,0,27.1%,72.9%,0%,16,19,9.0%
100177,203,3632,State-funded primary,415,213,202,51.3%,48.7%,8,1.9%,39,9.4%,139,276,0,33.5%,66.5%,0%,98,104,25.1%
100178,203,3657,State-funded primary,164,80,84,48.8%,51.2%,5,3.0%,17,10.4%,96,68,0,58.5%,41.5%,0%,44,51,31.1%
100179,203,3662,State-funded primary,188,94,94,50.0%,50.0%,1,0.5%,20,10.6%,72,116,0,38.3%,61.7%,0%,49,57,30.3%
100180,203,3666,State-funded primary,209,102,107,48.8%,51.2%,5,2.4%,13,6.2%,108,101,0,51.7%,48.3%,0%,25,32,15.3%
100181,203,3668,State-funded primary,209,113,96,54.1%,45.9%,10,4.8%,21,10.0%,36,172,1,17.2%,82.3%,0.5%,39,49,23.4%
100182,203,4077,State-funded secondary,1160,1137,23,98.0%,2.0%,18,1.6%,141,12.2%,283,874,3,24.4%,75.3%,0.3%,202,277,23.9%
100183,203,4130,State-funded secondary,1486,1134,352,76.3%,23.7%,45,3.0%,186,12.5%,886,600,0,59.6%,40.4%,0%,390,498,33.5%
100190,203,4294,State-funded secondary,2027,942,1085,46.5%,53.5%,110,5.4%,285,14.1%,419,1567,41,20.7%,77.3%,2.0%,380,471,23.2%
100193,203,4682,State-funded secondary,650,650,0,100%,0%,5,0.8%,54,8.3%,103,529,18,15.8%,81.4%,2.8%,89,161,24.8%
100197,203,5200,State-funded primary,460,229,231,49.8%,50.2%,11,2.4%,66,14.3%,259,201,0,56.3%,43.7%,0%,105,119,25.9%
100198,203,6065,Independent school,358,152,206,42.5%,57.5%,1,0.3%,102,28.5%,0,0,0,0%,0%,0%,0
100199,203,6114,Independent school,363,191,172,52.6%,47.4%,0,0%,25,6.9%,0,0,0,0%,0%,0%,0
100200,203,6169,Independent school,146,59,87,40.4%,59.6%,85,58.2%,5,3.4%,0,0,0,0%,0%,0%,0
100201,203,6170,Independent school,224,107,117,47.8%,52.2%,1,0.4%,36,16.1%,0,0,0,0%,0%,0%,0
100202,203,6293,Independent school,1204,540,664,44.9%,55.1%,2,0.2%,230,19.1%,0,0,0,0%,0%,0%,0
100203,209,6294,Independent school,117,56,61,47.9%,52.1%,0,0%,0,0%,0,0,0,0%,0%,0%,0
100204,203,7118,State-funded special school,36,0,36,0%,100%,36,100%,0,0%,0,36,0,0%,100%,0%,23,30,83.3%
100212,204,1008,State-funded nursery,97,43,54,44.3%,55.7%,1,1.0%,3,3.1%,29,68,0,29.9%,70.1%,0%,9
100213,204,1051,State-funded nursery,119,56,63,47.1%,52.9%,6,5.0%,21,17.6%,61,57,1,51.3%,47.9%,0.8%,27
100218,204,2048,State-funded primary,447,219,228,49.0%,51.0%,29,6.5%,59,13.2%,240,207,0,53.7%,46.3%,0%,191,194,43.4%
100221,204,2120,State-funded primary,188,97,91,51.6%,48.4%,2,1.1%,30,16.0%,54,123,11,28.7%,65.4%,5.9%,49,47,25.0%
100223,204,2150,State-funded primary,576,266,310,46.2%,53.8%,23,4.0%,56,9.7%,158,418,0,27.4%,72.6%,0%,196,210,36.5%
100224,204,2155,State-funded primary,171,100,71,58.5%,41.5%,11,6.4%,34,19.9%,94,77,0,55.0%,45.0%,0%,106,114,66.7%
100225,204,2238,State-funded primary,268,115,153,42.9%,57.1%,18,6.7%,41,15.3%,92,176,0,34.3%,65.7%,0%,107,104,38.8%
100229,204,2376,State-funded primary,424,201,223,47.4%,52.6%,6,1.4%,46,10.8%,84,340,0,19.8%,80.2%,0%,104,107,25.2%
100230,204,2388,State-funded primary,440,213,227,48.4%,51.6%,27,6.1%,47,10.7%,172,268,0,39.1%,60.9%,0%,134,136,30.9%
100231,204,2421,State-funded primary,660,329,331,49.8%,50.2%,38,5.8%,63,9.5%,142,518,0,21.5%,78.5%,0%,132,145,22.0%
100232,204,2431,State-funded primary,473,226,247,47.8%,52.2%,23,4.9%,96,20.3%,284,189,0,60.0%,40.0%,0%,213,216,45.7%
100234,204,2450,State-funded primary,676,329,347,48.7%,51.3%,17,2.5%,118,17.5%,302,373,1,44.7%,55.2%,0.1%,307,308,45.6%
100235,204,2487,State-funded primary,440,214,226,48.6%,51.4%,24,5.5%,100,22.7%,258,182,0,58.6%,41.4%,0%,143,153,34.8%
100236,204,2489,State-funded primary,304,153,151,50.3%,49.7%,16,5.3%,44,14.5%,213,91,0,70.1%,29.9%,0%,131,141,46.4%
100239,204,2532,State-funded primary,334,176,158,52.7%,47.3%,6,1.8%,30,9.0%,208,126,0,62.3%,37.7%,0%,117,129,38.6%
100240,204,2539,State-funded primary,420,202,218,48.1%,51.9%,16,3.8%,55,13.1%,247,173,0,58.8%,41.2%,0%,172,172,41.0%
100241,204,2545,State-funded primary,470,222,248,47.2%,52.8%,17,3.6%,62,13.2%,207,262,1,44.0%,55.7%,0.2%,144,136,28.9%
100242,204,2564,State-funded primary,390,192,198,49.2%,50.8%,12,3.1%,79,20.3%,236,154,0,60.5%,39.5%,0%,142,149,38.2%
100243,204,2592,State-funded primary,256,115,141,44.9%,55.1%,20,7.8%,31,12.1%,147,109,0,57.4%,42.6%,0%,125,130,50.8%
100244,204,2615,State-funded primary,341,166,175,48.7%,51.3%,31,9.1%,51,15.0%,166,175,0,48.7%,51.3%,0%,148,153,44.9%
100245,204,2636,State-funded primary,421,219,202,52.0%,48.0%,29,6.9%,80,19.0%,131,290,0,31.1%,68.9%,0%,210,219,52.0%
100248,204,2654,State-funded primary,675,341,334,50.5%,49.5%,29,4.3%,55,8.1%,394,281,0,58.4%,41.6%,0%,264,275,40.7%
100250,204,2779,State-funded primary,231,124,107,53.7%,46.3%,7,3.0%,39,16.9%,144,86,1,62.3%,37.2%,0.4%,117,121,52.4%
100251,204,2795,State-funded primary,344,168,176,48.8%,51.2%,20,5.8%,56,16.3%,203,141,0,59.0%,41.0%,0%,134,134,39.0%
100252,204,2856,State-funded primary,219,91,128,41.6%,58.4%,16,7.3%,29,13.2%,91,128,0,41.6%,58.4%,0%,35,35,16.0%
100253,204,2859,State-funded primary,429,210,219,49.0%,51.0%,18,4.2%,40,9.3%,171,257,1,39.9%,59.9%,0.2%,78,85,19.8%
100254,204,2860,State-funded primary,214,99,115,46.3%,53.7%,12,5.6%,31,14.5%,122,92,0,57.0%,43.0%,0%,75,85,39.7%
100255,204,2861,State-funded primary,210,103,107,49.0%,51.0%,7,3.3%,30,14.3%,90,120,0,42.9%,57.1%,0%,78,89,42.4%
100256,204,2862,State-funded primary,255,123,132,48.2%,51.8%,14,5.5%,26,10.2%,122,133,0,47.8%,52.2%,0%,111,119,46.7%
100257,204,2863,State-funded primary,226,113,113,50.0%,50.0%,11,4.9%,21,9.3%,160,65,1,70.8%,28.8%,0.4%,66,72,31.9%
100258,204,2864,State-funded primary,442,235,207,53.2%,46.8%,16,3.6%,38,8.6%,76,366,0,17.2%,82.8%,0%,95,100,22.6%
100259,204,2865,State-funded primary,205,100,105,48.8%,51.2%,6,2.9%,42,20.5%,119,86,0,58.0%,42.0%,0%,67,64,31.2%
100260,204,2872,State-funded primary,326,174,152,53.4%,46.6%,8,2.5%,59,18.1%,164,162,0,50.3%,49.7%,0%,122,125,38.3%
100261,204,2896,State-funded primary,261,123,138,47.1%,52.9%,12,4.6%,38,14.6%,176,84,1,67.4%,32.2%,0.4%,154,157,60.2%
100263,204,3358,State-funded primary,309,148,161,47.9%,52.1%,13,4.2%,44,14.2%,122,187,0,39.5%,60.5%,0%,114,119,38.5%
100264,204,3371,State-funded primary,209,112,97,53.6%,46.4%,5,2.4%,28,13.4%,62,146,1,29.7%,69.9%,0.5%,47,56,26.8%
100266,204,3458,State-funded primary,318,167,151,52.5%,47.5%,22,6.9%,47,14.8%,142,176,0,44.7%,55.3%,0%,164,172,54.1%
100267,204,3543,State-funded primary,218,113,105,51.8%,48.2%,7,3.2%,26,11.9%,84,134,0,38.5%,61.5%,0%,123,118,54.1%
100268,204,3553,State-funded primary,226,106,120,46.9%,53.1%,5,2.2%,37,16.4%,181,45,0,80.1%,19.9%,0%,91,89,39.4%
100269,204,3572,State-funded primary,199,111,88,55.8%,44.2%,4,2.0%,46,23.1%,60,139,0,30.2%,69.8%,0%,111,112,56.3%
100270,204,3616,State-funded primary,165,84,81,50.9%,49.1%,10,6.1%,27,16.4%,46,119,0,27.9%,72.1%,0%,86,86,52.1%
100271,204,3618,State-funded primary,184,91,93,49.5%,50.5%,6,3.3%,21,11.4%,58,126,0,31.5%,68.5%,0%,76,76,41.3%
100274,204,3659,State-funded primary,211,108,103,51.2%,48.8%,7,3.3%,45,21.3%,128,82,1,60.7%,38.9%,0.5%,113,113,53.6%
100275,204,3663,State-funded primary,112,60,52,53.6%,46.4%,5,4.5%,28,25.0%,50,62,0,44.6%,55.4%,0%,26,28,25.0%
100277,204,4283,State-funded secondary,1016,471,545,46.4%,53.6%,34,3.3%,227,22.3%,392,624,0,38.6%,61.4%,0%,424,475,46.8%
100279,204,4310,State-funded secondary,1666,754,912,45.3%,54.7%,82,4.9%,297,17.8%,394,1272,0,23.6%,76.4%,0%,441,469,28.2%
100282,204,4641,State-funded secondary,734,722,12,98.4%,1.6%,8,1.1%,128,17.4%,392,342,0,53.4%,46.6%,0%,258,304,41.4%
100284,204,4697,State-funded secondary,881,377,504,42.8%,57.2%,30,3.4%,228,25.9%,392,489,0,44.5%,55.5%,0%,592,574,65.2%
100285,204,4714,State-funded secondary,1050,521,529,49.6%,50.4%,25,2.4%,210,20.0%,538,509,3,51.2%,48.5%,0.3%,469,512,48.8%
100287,204,6072,Independent school,202,0,202,0%,100%,7,3.5%,30,14.9%,0,0,0,0%,0%,0%,0
100289,204,6233,Independent school,1048,0,1048,0%,100%,12,1.1%,94,9.0%,0,0,0,0%,0%,0%,0
100291,204,6242,Independent school,756,746,10,98.7%,1.3%,15,2.0%,70,9.3%,0,0,0,0%,0%,0%,0
100293,204,6296,Independent school,1336,1088,248,81.4%,18.6%,20,1.5%,149,11.2%,0,0,0,0%,0%,0%,0
100294,204,6331,Independent school,630,0,630,0%,100%,16,2.5%,40,6.3%,0,0,0,0%,0%,0%,0
100295,204,6337,Independent school,561,543,18,96.8%,3.2%,10,1.8%,64,11.4%,0,0,0,0%,0%,0%,0
100296,204,6377,Independent school,263,0,263,0%,100%,4,1.5%,35,13.3%,0,0,0,0%,0%,0%,0
