RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,807,4121,138845,Nunthorpe Academy,Academy - Converter Mainstream,0,0,,2,14,96,90%,0%,89%,29%,25%,0%,1%,96,90%,14,2,0,0%,NA,NA,0,0%,NA,NA,86%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,807,8000,145227,Prior Pursglove and Stockton Sixth Form College,Academy 16-19 Converter,0,0,,2,11,783,78%,2%,76%,17%,16%,SP,1%,672,82%,11,2,8,50%,7,3,103,53%,9,3,77%,1%,76%,13%,12%,0%,1%
LA,807,,,,,,,,NA,11,888,79%,2%,77%,18%,17%,0%,1%,772,83%,11,NA,12,58%,16,NA,104,53%,8,NA,80%,2%,77%,20%,18%,0%,1%
1,808,4008,143063,Egglescliffe School,Academy - Converter Mainstream,0,0,,3,-1,139,80%,3%,77%,34%,32%,0%,0%,139,80%,-1,3,0,0%,NA,NA,0,0%,NA,NA,86%,0%,86%,29%,29%,0%,0%
1,808,4023,139318,Conyers School,Academy - Converter Mainstream,0,0,,2,10,117,84%,3%,78%,32%,30%,1%,3%,106,87%,10,2,0,0%,NA,NA,11,55%,6,3,80%,7%,73%,13%,13%,SUPP,0%
LA,808,,,,,,,,NA,4,256,82%,3%,77%,33%,31%,0%,1%,245,83%,4,NA,0,0%,NA,NA,11,54%,6,NA,82%,3%,77%,35%,32%,SUPP,1%
1,841,4603,137622,Carmel College,Academy - Converter Mainstream,0,0,,3,-3,137,77%,4%,71%,34%,29%,2%,3%,137,77%,-3,3,0,0%,NA,NA,0,0%,NA,NA,45%,0%,45%,18%,18%,0%,0%
1,841,8000,130656,Darlington College,Further Education Sector Institution,0,0,,4,-11,222,32%,SP,27%,2%,1%,0%,5%,21,33%,-15,3,40,30%,-8,3,161,33%,-12,4,21%,SUPP,15%,0%,0%,0%,SUPP
1,841,8600,130662,Queen Elizabeth Sixth Form College,Further Education Sector Institution,0,0,,3,2,875,75%,1%,73%,24%,21%,1%,1%,855,76%,3,3,0,0%,NA,NA,20,20%,-24,5,67%,0%,66%,14%,12%,1%,1%
LA,841,,,,,,,,NA,-1,1253,68%,2%,64%,21%,18%,1%,2%,1032,76%,2,NA,40,30%,-8,NA,181,32%,-13,NA,71%,2%,67%,23%,20%,1%,2%
1,840,4000,136745,North Durham Academy,Academy - Sponsor Led Mainstream,0,0,,3,-2,55,62%,0%,60%,7%,7%,0%,2%,55,62%,-2,3,0,0%,NA,NA,0,0%,NA,NA,63%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4001,137638,Consett Academy,Academy - Sponsor Led Mainstream,0,0,,3,-10,55,67%,2%,64%,24%,20%,0%,2%,55,67%,-10,3,0,0%,NA,NA,0,0%,NA,NA,71%,SUPP,64%,7%,7%,0%,SUPP
1,840,4006,142894,UTC South Durham,Free School - UTC ,0,0,,4,-18,27,37%,0%,33%,4%,4%,0%,4%,15,33%,-27,5,12,42%,-6,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4007,144496,Teesdale School and Sixth Form,Academy - Sponsor Led Mainstream,0,0,,5,-25,29,45%,0%,45%,21%,14%,0%,0%,29,45%,-25,5,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4047,136971,Park View School,Academy - Converter Mainstream,0,0,,3,6,127,80%,2%,73%,22%,17%,0%,5%,127,80%,6,3,0,0%,NA,NA,0,0%,NA,NA,58%,0%,58%,25%,17%,0%,0%
1,840,4178,136770,King James I Academy Bishop Auckland,Academy - Converter Mainstream,0,0,,3,0,43,60%,0%,56%,7%,5%,0%,5%,36,61%,-2,3,7,57%,13,3,0,0%,NA,NA,68%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4190,137696,Framwellgate School Durham,Academy - Converter Mainstream,0,0,,3,1,65,75%,2%,72%,43%,34%,5%,2%,65,75%,1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4191,114310,Durham Sixth Form Centre,Community School,0,0,,4,-5,607,63%,2%,60%,16%,15%,SP,1%,535,64%,-7,4,29,76%,29,2,43,51%,3,3,63%,2%,59%,17%,17%,SUPP,3%
1,840,4200,114312,Durham Johnston Comprehensive School,Community School,0,0,,3,1,165,86%,1%,84%,59%,54%,7%,1%,165,86%,1,3,0,0%,NA,NA,0,0%,NA,NA,80%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4681,137702,St John's School & Sixth Form College - A Catholic Academy,Academy - Converter Mainstream,0,0,,3,-9,92,59%,1%,57%,18%,18%,1%,1%,81,62%,-9,3,11,36%,-4,3,0,0%,NA,NA,44%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4691,143583,St Leonard's Catholic School,Academy - Converter Mainstream,0,0,,3,4,112,81%,2%,78%,39%,35%,0%,2%,112,81%,4,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,67%,0%,0%,0%,0%
1,840,4693,114327,St Bede's Catholic Comprehensive School and Byron College,Voluntary Aided School,0,0,,3,7,37,81%,0%,81%,22%,22%,0%,0%,37,81%,7,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4694,138172,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",Academy - Converter Mainstream,0,0,,3,-8,105,65%,0%,63%,26%,21%,2%,2%,105,65%,-8,3,0,0%,NA,NA,0,0%,NA,NA,65%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,8002,130657,Bishop Auckland College,Further Education Sector Institution,0,0,,3,-11,54,35%,4%,15%,2%,2%,0%,17%,4,SUPP,SUPP,SUPP,10,10%,-33,4,40,43%,-4,3,42%,0%,19%,SUPP,SUPP,0%,23%
1,840,8003,130658,Derwentside College,Further Education Sector Institution,0,0,,5,-28,56,20%,0%,7%,0%,0%,0%,13%,6,33%,-32,3,4,SUPP,SUPP,SUPP,46,17%,-29,5,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%
1,840,8004,130659,New College Durham,Further Education Sector Institution,0,0,,4,-6,473,44%,4%,25%,4%,4%,SP,15%,125,57%,-5,3,19,47%,-3,3,329,39%,-6,3,40%,3%,22%,2%,2%,SUPP,15%
1,840,8008,131859,East Durham College,Further Education Sector Institution,0,0,,4,-8,183,40%,0%,32%,4%,4%,0%,8%,29,59%,-11,3,34,21%,-15,3,120,42%,-5,3,36%,0%,28%,1%,1%,0%,8%
LA,840,,,,,,,,NA,-5,2423,59%,2%,52%,18%,16%,1%,6%,1710,68%,-4,NA,133,42%,-1,NA,580,39%,-7,NA,62%,2%,55%,20%,18%,1%,5%
1,929,4130,122328,Haydon Bridge Community High School and Sports College,Foundation School,0,0,,4,-18,36,47%,0%,47%,14%,11%,0%,0%,36,47%,-18,4,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4369,122351,Prudhoe Community High School,Community School,0,0,,3,-6,91,63%,1%,62%,25%,20%,1%,0%,83,64%,-8,3,8,50%,11,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4417,143291,Queen Elizabeth High School,Academy - Converter Mainstream,0,0,,3,1,169,81%,1%,79%,39%,30%,1%,1%,163,84%,3,3,6,0%,-46,4,0,0%,NA,NA,89%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4424,137457,Cramlington Learning Village,Academy - Converter Mainstream,0,0,,3,-5,127,69%,2%,67%,27%,26%,0%,1%,127,69%,-5,3,0,0%,NA,NA,0,0%,NA,NA,29%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4426,122358,Ponteland High School,Community School,0,0,,3,3,131,81%,2%,77%,36%,31%,2%,2%,131,81%,3,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,71%,14%,14%,0%,0%
1,929,4437,137598,Berwick Academy,Academy - Converter Mainstream,0,0,,3,-8,56,54%,0%,52%,21%,13%,0%,2%,53,57%,-7,3,1,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4438,122362,The Duchess's Community High School,Community School,0,0,,3,-1,126,68%,2%,63%,28%,22%,1%,2%,120,71%,0,3,5,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,93%,SUPP,80%,13%,13%,SUPP,SUPP
1,929,4439,122363,James Calvert Spence College,Community School,0,0,,3,-10,22,50%,5%,36%,9%,9%,0%,9%,20,55%,-7,3,0,0%,NA,NA,2,SUPP,SUPP,SUPP,50%,SUPP,33%,0%,0%,0%,SUPP
1,929,4501,137746,The King Edward VI Academy,Academy - Converter Mainstream,0,0,,3,5,208,79%,SP,75%,43%,32%,1%,3%,208,79%,5,3,0,0%,NA,NA,0,0%,NA,NA,92%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,929,4632,141814,St Benet Biscop Catholic Academy,Academy - Converter Mainstream,0,0,,3,-9,63,65%,2%,62%,21%,21%,0%,2%,63,65%,-9,3,0,0%,NA,NA,0,0%,NA,NA,38%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,5400,122374,Astley Community High School,Community School,0,0,,3,-10,68,54%,6%,44%,13%,13%,0%,4%,48,56%,-18,4,0,0%,NA,NA,20,50%,9,3,42%,0%,37%,11%,11%,0%,5%
1,929,6905,135619,Bede Academy,Academy - Sponsor Led Mainstream,0,0,,4,-14,72,57%,0%,57%,19%,15%,0%,0%,66,61%,-13,4,6,17%,-25,3,0,0%,NA,NA,45%,0%,45%,9%,9%,0%,0%
1,929,6906,135886,NCEA Duke's Secondary School,Academy - Sponsor Led Mainstream,0,0,,4,-19,44,39%,0%,32%,2%,2%,0%,7%,38,39%,-22,5,5,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,32%,0%,27%,SUPP,SUPP,0%,5%
LA,929,,,,,,,,NA,-5,1500,63%,1%,59%,25%,20%,0%,3%,1266,69%,-4,NA,83,31%,-10,NA,151,28%,-14,NA,65%,1%,61%,27%,22%,1%,2%
1,391,4000,140965,Studio West,Free School  Studio School ,0,0,,5,-25,13,23%,15%,8%,0%,0%,0%,0%,8,38%,-16,3,0,0%,NA,NA,5,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%
1,391,4429,136352,Gosforth Academy,Academy - Converter Mainstream,0,0,,3,5,253,79%,2%,76%,30%,26%,2%,1%,248,80%,5,3,0,0%,NA,NA,5,SUPP,SUPP,SUPP,65%,0%,65%,8%,8%,0%,0%
1,391,4450,145528,Walker Riverside Academy,Academy - Converter Mainstream,0,0,,5,-40,34,21%,0%,15%,3%,3%,0%,6%,32,22%,-39,5,0,0%,NA,NA,2,SUPP,SUPP,SUPP,21%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,391,4480,144271,Benfield School,Academy - Converter Mainstream,0,0,,3,-13,30,53%,0%,53%,3%,3%,0%,0%,27,56%,-14,3,1,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,46%,0%,46%,SUPP,SUPP,0%,0%
1,391,4485,138120,Kenton School,Academy - Converter Mainstream,0,0,,3,8,95,72%,2%,64%,15%,13%,0%,5%,87,72%,7,3,8,63%,24,3,0,0%,NA,NA,71%,SUPP,63%,4%,4%,0%,SUPP
1,391,4714,140081,St Mary's Catholic School,Academy - Converter Mainstream,0,0,,3,2,98,80%,2%,77%,38%,37%,1%,1%,98,80%,2,3,0,0%,NA,NA,0,0%,NA,NA,63%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,391,4715,137900,St Cuthbert's High School,Academy - Converter Mainstream,0,0,,3,-4,89,74%,0%,73%,47%,44%,3%,1%,82,78%,-2,3,0,0%,NA,NA,7,29%,-20,3,53%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,391,4716,137708,Sacred Heart Catholic High School,Academy - Converter Mainstream,0,0,,3,7,150,83%,1%,81%,32%,31%,1%,1%,146,85%,9,2,0,0%,NA,NA,4,SUPP,SUPP,SUPP,76%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,391,6905,135423,Excelsior Academy,Academy - Sponsor Led Mainstream,0,0,,3,3,67,57%,0%,49%,3%,3%,0%,7%,57,65%,9,3,0,0%,NA,NA,10,10%,-30,3,56%,0%,49%,SUPP,SUPP,0%,7%
1,391,8005,130552,NCG,Further Education Sector Institution,0,0,,3,2,1921,54%,2%,43%,7%,5%,0%,9%,745,62%,-3,3,145,34%,-6,3,1031,52%,6,2,52%,1%,42%,4%,3%,0%,9%
LA,391,,,,,,,,NA,2,3007,61%,2%,53%,14%,12%,0%,7%,1767,69%,0,NA,173,38%,-2,NA,1067,50%,5,NA,63%,2%,55%,16%,15%,0%,6%
1,392,4000,139658,Kings Priory School,Academy - Sponsor Led Mainstream,0,0,,3,10,77,87%,1%,86%,44%,38%,1%,0%,77,87%,10,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,392,4029,108638,Whitley Bay High School,Foundation School,0,0,,3,1,241,80%,2%,77%,33%,29%,1%,SP,241,80%,1,3,0,0%,NA,NA,0,0%,NA,NA,67%,SUPP,58%,8%,8%,0%,SUPP
1,392,4030,108639,George Stephenson High School,Foundation School,0,0,,3,-4,56,75%,7%,66%,23%,21%,2%,2%,56,75%,-4,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,392,4032,108640,Burnside College,Foundation School,0,0,,2,14,58,74%,0%,74%,19%,19%,0%,0%,31,90%,15,3,0,0%,NA,NA,27,56%,12,3,67%,0%,67%,11%,11%,0%,0%
1,392,4033,108641,Churchill Community College,Foundation School,0,0,,3,-6,30,70%,3%,67%,17%,7%,0%,0%,30,70%,-6,3,0,0%,NA,NA,0,0%,NA,NA,70%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,392,4034,108642,Monkseaton High School,Foundation School,0,0,,3,-6,55,60%,2%,55%,9%,7%,0%,4%,51,63%,-5,3,0,0%,NA,NA,4,SUPP,SUPP,SUPP,63%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,392,4039,108645,Longbenton High School,Foundation School,0,0,,3,-1,31,68%,3%,58%,16%,10%,0%,6%,31,68%,-1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,392,4605,137734,St Thomas More Roman Catholic Academy,Academy - Converter Mainstream,0,0,,3,2,135,78%,1%,75%,35%,32%,1%,2%,134,78%,2,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,81%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
LA,392,,,,,,,,NA,2,698,76%,2%,73%,29%,25%,1%,1%,666,78%,2,NA,0,0%,NA,NA,32,50%,6,NA,77%,2%,73%,29%,25%,1%,1%
1,393,4004,144204,Harton Academy,Academy - Converter Mainstream,0,0,,3,3,96,84%,2%,81%,41%,35%,0%,1%,96,84%,3,3,0,0%,NA,NA,0,0%,NA,NA,74%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,393,4603,139878,St Joseph's Catholic Academy,Academy - Converter Mainstream,0,0,,3,3,123,70%,3%,67%,16%,16%,0%,0%,118,73%,4,3,0,0%,NA,NA,5,SUPP,SUPP,SUPP,62%,0%,62%,0%,0%,0%,0%
1,393,4604,142601,St Wilfrid's RC College,Academy - Converter Mainstream,0,0,,3,-8,67,66%,0%,64%,27%,25%,0%,1%,57,70%,-8,3,10,40%,-12,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,393,4605,136386,Whitburn Church of England Academy,Academy - Converter Mainstream,0,0,,3,-2,106,77%,1%,76%,31%,27%,1%,0%,105,78%,-1,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,393,8000,130555,Tyne Coast College,Further Education Sector Institution,0,0,,4,-9,477,44%,1%,32%,6%,6%,SP,12%,140,61%,-11,4,28,32%,-9,3,309,38%,-7,4,42%,0%,29%,4%,4%,0%,13%
LA,393,,,,,,,,NA,-5,869,58%,1%,50%,16%,15%,0%,7%,516,73%,-3,NA,38,34%,-10,NA,315,37%,-8,NA,60%,2%,53%,18%,16%,0%,6%
1,394,4055,138103,Southmoor Academy,Academy - Converter Mainstream,0,0,,3,7,79,76%,0%,75%,23%,16%,0%,1%,78,76%,6,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,73%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,394,4607,139538,St Aidan's Catholic Academy,Academy - Converter Mainstream,0,0,,3,-1,57,72%,5%,67%,33%,28%,2%,0%,57,72%,-1,3,0,0%,NA,NA,0,0%,NA,NA,75%,0%,75%,25%,25%,SUPP,0%
1,394,4609,108870,St Robert of Newminster Roman Catholic School,Voluntary Aided School,0,0,,3,1,232,72%,2%,68%,24%,22%,0%,3%,213,76%,2,3,18,39%,-12,3,1,SUPP,SUPP,SUPP,55%,0%,55%,5%,5%,0%,0%
1,394,4610,138054,St Anthony's Girls' Catholic Academy,Academy - Converter Mainstream,0,0,,3,7,118,82%,2%,80%,27%,25%,1%,1%,111,83%,6,3,7,71%,32,3,0,0%,NA,NA,86%,SUPP,79%,7%,7%,SUPP,SUPP
1,394,8003,131347,City of Sunderland College,Further Education Sector Institution,0,0,,3,2,975,61%,1%,57%,9%,8%,SP,3%,486,73%,1,3,27,37%,-2,3,462,50%,3,3,55%,1%,50%,6%,6%,SUPP,4%
LA,394,,,,,,,,NA,2,1470,66%,1%,62%,15%,13%,0%,2%,954,75%,2,NA,53,43%,0,NA,463,50%,3,NA,68%,1%,64%,17%,15%,0%,2%
1,390,4001,141185,Thorp Academy,Academy - Sponsor Led Mainstream,0,0,,3,-2,96,68%,2%,64%,18%,16%,0%,2%,81,72%,-3,3,14,50%,5,3,1,SUPP,SUPP,SUPP,67%,0%,67%,17%,17%,0%,0%
1,390,4027,137942,Lord Lawson of Beamish Academy,Academy - Converter Mainstream,0,0,,3,-2,96,70%,3%,64%,15%,13%,1%,3%,96,70%,-2,3,0,0%,NA,NA,0,0%,NA,NA,46%,0%,46%,0%,0%,SUPP,0%
1,390,4029,137360,Whickham School,Academy - Converter Mainstream,0,0,,3,0,122,70%,4%,65%,27%,25%,1%,1%,122,70%,0,3,0,0%,NA,NA,0,0%,NA,NA,46%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,390,4605,137852,Cardinal Hume Catholic School,Academy - Converter Mainstream,0,0,,3,0,82,73%,2%,70%,22%,22%,1%,1%,72,74%,-3,3,9,78%,26,3,1,SUPP,SUPP,SUPP,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,390,4606,137851,St Thomas More Catholic School,Academy - Converter Mainstream,0,0,,3,3,136,74%,1%,72%,28%,24%,1%,1%,102,84%,5,3,0,0%,NA,NA,34,44%,0,3,50%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,390,6900,108420,Emmanuel College,City Technology College,0,0,,3,7,117,85%,3%,79%,51%,48%,3%,3%,104,88%,6,3,13,62%,12,3,0,0%,NA,NA,100%,SUPP,78%,56%,56%,0%,SUPP
1,390,8001,130551,Gateshead College,Further Education Sector Institution,0,0,,4,-9,529,46%,1%,40%,6%,5%,SP,5%,138,43%,-36,5,16,38%,-4,3,375,47%,1,3,51%,0%,45%,7%,7%,SUPP,6%
LA,390,,,,,,,,NA,-3,1266,61%,2%,57%,18%,16%,1%,3%,803,69%,-6,NA,52,54%,7,NA,411,47%,1,NA,63%,2%,58%,19%,17%,1%,3%
1,876,6905,136185,Ormiston Bolingbroke Academy,Academy - Sponsor Led Mainstream,0,0,,4,-19,85,38%,1%,35%,12%,9%,0%,1%,41,59%,-13,3,0,0%,NA,NA,44,18%,-25,5,37%,SUPP,34%,12%,7%,0%,SUPP
1,876,8020,130622,Riverside College Halton,Further Education Sector Institution,0,0,,2,5,608,65%,3%,58%,14%,11%,SP,4%,266,76%,-2,3,0,0%,NA,NA,342,56%,9,2,66%,1%,58%,8%,5%,0%,7%
LA,876,,,,,,,,NA,0,837,61%,2%,55%,12%,10%,0%,4%,442,69%,-5,NA,1,0%,-43,NA,394,51%,5,NA,62%,2%,56%,14%,12%,0%,3%
1,877,4004,142899,UTC Warrington,Free School - UTC ,0,0,,3,-3,43,49%,12%,35%,12%,7%,0%,2%,9,78%,2,3,34,41%,-4,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,877,4206,139152,Great Sankey High School,Academy - Converter Mainstream,0,0,,4,-10,159,58%,5%,51%,13%,8%,0%,2%,137,66%,-6,3,0,0%,NA,NA,22,5%,-35,5,40%,0%,40%,10%,0%,0%,0%
1,877,4226,139840,Birchwood Community High School,Academy - Converter Mainstream,0,0,,3,-2,61,57%,7%,51%,0%,0%,0%,0%,42,69%,1,3,0,0%,NA,NA,19,32%,-10,3,27%,0%,27%,0%,0%,0%,0%
1,877,4502,138732,Lymm High School,Academy - Converter Mainstream,0,0,,3,7,163,82%,1%,80%,34%,31%,1%,1%,154,85%,8,2,0,0%,NA,NA,9,22%,-22,3,83%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,877,8000,130617,Warrington and Vale Royal College,Further Education Sector Institution,0,0,,3,4,304,47%,2%,28%,4%,1%,0%,17%,4,SUPP,SUPP,SUPP,9,67%,25,3,291,47%,3,3,45%,1%,28%,4%,1%,0%,15%
1,877,8600,144782,Priestley College,Academy 16-19 Converter,0,0,,3,-3,742,60%,2%,57%,10%,7%,SP,1%,622,63%,-3,3,9,56%,17,3,111,40%,-4,3,46%,2%,45%,5%,4%,SUPP,0%
LA,877,,,,,,,,NA,-2,1539,59%,3%,52%,12%,9%,0%,4%,1035,67%,-2,NA,52,48%,5,NA,452,42%,-1,NA,62%,3%,55%,13%,10%,0%,4%
1,889,4002,139924,Darwen Aldridge Enterprise Studio,Free School  Studio School ,0,0,,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,889,4800,141565,Tauheedul Islam Girls' High School,Academy - Converter Mainstream,0,0,,3,-9,65,72%,0%,72%,18%,20%,0%,0%,65,72%,-9,3,0,0%,NA,NA,0,0%,NA,NA,63%,0%,63%,25%,25%,0%,0%
1,889,5406,136900,St Wilfrid's Church of England Academy,Academy - Converter Mainstream,0,0,,3,6,98,79%,7%,71%,12%,6%,0%,0%,93,80%,5,3,5,SUPP,SUPP,SUPP,0,0%,NA,NA,86%,14%,71%,14%,0%,0%,0%
1,889,6001,141165,Queen Elizabeth's Grammar School,Free School - Mainstream,0,0,,3,7,59,85%,2%,78%,27%,25%,2%,5%,59,85%,7,3,0,0%,NA,NA,0,0%,NA,NA,73%,SUPP,55%,18%,18%,SUPP,SUPP
1,889,6905,135580,Darwen Aldridge Community Academy,Academy - Sponsor Led Mainstream,0,0,,2,10,101,76%,1%,73%,14%,11%,2%,2%,94,78%,10,2,6,67%,19,3,1,SUPP,SUPP,SUPP,70%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,889,8007,130736,Blackburn College,Further Education Sector Institution,0,0,,2,10,530,63%,2%,52%,3%,3%,0%,9%,151,71%,1,3,6,33%,-12,3,373,60%,14,2,64%,0%,53%,3%,2%,0%,11%
1,889,8602,130746,St Mary's College,Further Education Sector Institution,0,0,,2,14,320,81%,2%,77%,14%,10%,0%,2%,220,83%,7,2,0,0%,NA,NA,100,76%,29,1,81%,1%,80%,7%,6%,0%,0%
LA,889,,,,,,,,NA,9,1178,72%,2%,65%,10%,8%,0%,5%,684,78%,4,NA,19,53%,8,NA,475,63%,17,NA,72%,2%,65%,11%,9%,0%,4%
